Ticker,Overlay,ActionType,WeightBefore,WeightAfter,WeightReleased,WeightRedistributedToEligible,WeightFreedToSGOV,Reason,Date,StartWindow,AboveSMA126,Mom63,Mom126
URA,StalePosition,SoftTargetTrim,0.09209105420736195,0.046045527103680976,0.046045527103680976,0.046045527103680976,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-03-01,2022-01-01,,,
XLF,StalePosition,SoftTargetTrim,0.029225866759495695,0.014612933379747848,0.014612933379747848,0.014612933379747848,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-03-01,2022-01-01,,,
BKLN,StalePosition,SoftTargetTrim,0.04071465178163101,0.020357325890815504,0.020357325890815504,0.020357325890815504,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-04-02,2022-01-01,,,
CIBR,StalePosition,SoftTargetTrim,0.028486561815229166,0.014243280907614583,0.014243280907614583,0.014243280907614583,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-04-02,2022-01-01,,,
EIS,StalePosition,SoftTargetTrim,0.037747076995550514,0.018873538497775257,0.018873538497775257,0.018873538497775257,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-04-02,2022-01-01,,,
INDA,StalePosition,SoftTargetTrim,0.040905199930401,0.0204525999652005,0.0204525999652005,0.0204525999652005,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-04-02,2022-01-01,,,
MLPA,StalePosition,SoftTargetTrim,0.05087772315269882,0.02543886157634941,0.02543886157634941,0.02543886157634941,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-04-02,2022-01-01,,,
QQQM,StalePosition,SoftTargetTrim,0.0278968112681481,0.01394840563407405,0.01394840563407405,0.01394840563407405,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-04-02,2022-01-01,,,
SMIN,StalePosition,SoftTargetTrim,0.09193536472540874,0.04596768236270437,0.04596768236270437,0.04596768236270437,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-04-02,2022-01-01,,,
URA,StalePosition,SoftTargetTrim,0.08118843817360707,0.04059421908680354,0.04059421908680354,0.04059421908680354,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-04-02,2022-01-01,,,
