Month,Strategy_Rolling12M,SPY_Rolling12M,QQQ_Rolling12M,VTI_Rolling12M,StrategyMinusSPY_Rolling12M,StrategyMinusQQQ_Rolling12M,StrategyMinusVTI_Rolling12M
2023-10-31,-0.014148690226560401,0.1331486630061034,0.32960110650875163,0.11599526126011739,-0.1472973532326638,-0.34374979673531203,-0.1301439514866778
2023-11-30,-0.017614460998592762,0.1371289982954964,0.3344208187701252,0.12700366096542393,-0.15474345929408917,-0.35203527976871796,-0.1446181219640167
2023-12-31,0.02691542081343612,0.2617576730114246,0.5485564049691143,0.26046983994811623,-0.2348422521979885,-0.5216409841556782,-0.2335544191346801
2024-01-31,0.007265826433372924,0.20601054057631996,0.4250594585841523,0.19200355072915487,-0.19874471414294703,-0.41779363215077936,-0.18473772429578195
2024-02-29,0.057731442743332195,0.3016759731540166,0.5057676293526396,0.28605262092385253,-0.24394453041068442,-0.44803618660930744,-0.22832117818052033
2024-03-31,0.09640551022291488,0.2961835145080485,0.39275529338702686,0.292972021355721,-0.1997780042851336,-0.296349783164112,-0.1965665111328061
2024-04-30,0.057799641428988524,0.22436280333661762,0.325109205411823,0.22361629686437334,-0.1665631619076291,-0.26730956398283445,-0.16581665543538482
2024-05-31,0.13167286921254595,0.2803803642329188,0.3038357397173814,0.2763972248721771,-0.14870749502037284,-0.17216287050483547,-0.14472435565963115
2024-06-30,0.09694110268950862,0.24488407251581235,0.30587485452726026,0.23274833238160775,-0.14794296982630373,-0.20893375183775165,-0.13580722969209913
2024-07-31,0.0709934213755048,0.22002323584381434,0.23624095103955267,0.2116756215418285,-0.14902981446830954,-0.16524752966404788,-0.1406822001663237
2024-08-31,0.10035408816344238,0.26915626979592955,0.26870216165236815,0.2618733245081799,-0.16880218163248717,-0.16834807348892578,-0.16151923634473753
2024-09-30,0.17282479279220153,0.36034141242814743,0.37163992534504087,0.3524315199369945,-0.1875166196359459,-0.19881513255283934,-0.17960672714479298
2024-10-31,0.16543544213107841,0.37811932556983185,0.38845847958177404,0.3787374886816912,-0.21268388343875344,-0.22302303745069563,-0.2133020465506128
2024-11-30,0.16981419188143776,0.33807615886047016,0.31994961029152,0.34452610812992535,-0.1682619669790324,-0.15013541841008227,-0.1747119162484876
2024-12-31,0.10259387627945049,0.2488647630411518,0.2557826472739053,0.2381024008311854,-0.1462708867617013,-0.15318877099445483,-0.1355085245517349
2025-01-31,0.12453855486777843,0.2623005156168481,0.2600277521802119,0.261561474288728,-0.13776196074906966,-0.13548919731243347,-0.13702291942094957
2025-02-28,0.09706974253716782,0.18446239934400976,0.1644417078592797,0.175449256124401,-0.08739265680684194,-0.06737196532211187,-0.07837951358723316
2025-03-31,0.05574811781451694,0.08304731925689768,0.06255774593804642,0.07168899629802383,-0.02729920144238074,-0.0068096281235294764,-0.015940878483506893
2025-04-30,0.09751829242318655,0.11876538734640785,0.1266780730239654,0.11212292144897607,-0.0212470949232213,-0.02915978060077884,-0.014604629025789517
2025-05-31,0.06642996282636382,0.1318268362312851,0.15880039971508397,0.12799097741407284,-0.06539687340492129,-0.09237043688872015,-0.06156101458770902
2025-06-30,0.0757609279684901,0.14943497334247025,0.15788310382383064,0.15080122245796024,-0.07367404537398015,-0.08212217585534054,-0.07504029448947014
2025-07-31,0.06568148410824093,0.16183914466027427,0.20618776643006775,0.15530208942243884,-0.09615766055203334,-0.14050628232182683,-0.08962060531419791
2025-08-31,0.11427766599482814,0.15860788994783448,0.20439953710211411,0.1577878398752255,-0.04433022395300634,-0.09012187110728598,-0.04351017388039735
2025-09-30,0.14776538799451044,0.17519358923473582,0.23672860722547573,0.17355031044466496,-0.02742820124022538,-0.08896321923096528,-0.025784922450154513
2025-10-31,0.19818970562387594,0.2140405474386189,0.3071511636491566,0.20856770179279605,-0.015850841814742944,-0.10896145802528068,-0.0103779961689201
2025-11-30,0.19026678523529106,0.14795189516051854,0.22139155879218286,0.13567989140684578,0.042314890074772515,-0.031124773556891805,0.05458689382844528
2025-12-31,0.30201977689578996,0.17719055511914705,0.20772548258556767,0.170982557507382,0.1248292217766429,0.09429429431022229,0.13103721938840796
2026-01-31,0.38863120705779486,0.1632978669632541,0.19669887895673543,0.15447812919541493,0.22533334009454076,0.19193232810105942,0.23415307786237993
2026-02-28,0.5067231254382605,0.16807319719069214,0.20111367756204213,0.1704845866380389,0.33864992824756834,0.30560944787621835,0.3362385388002216
2026-03-31,0.4178040321285448,0.17591532446518343,0.23682881709423032,0.18105857930668923,0.24188870766336135,0.18097521503431446,0.23674545282185555
2026-04-30,0.49354315262984705,0.3108133598109182,0.4111766121767573,0.3135639133179198,0.18272979281892887,0.08236654045308978,0.17997923931192727
2026-05-31,0.5044437796314667,0.29820983576946936,0.42914563925308347,0.3003437065612984,0.20623394386199734,0.07529814037838323,0.2041000730701683
2026-06-30,0.43376681262956596,0.22205131483271812,0.34135809029891595,0.23173369255556975,0.21171549779684784,0.09240872233065,0.2020331200739962
2026-07-31,0.38214820727705323,0.1949552594974524,0.22352439059204054,0.19820321728677248,0.18719294777960083,0.1586238166850127,0.18394498999028075
2026-08-31,0.3733966184325901,0.20230859454225913,0.26264386106762405,0.21016483489827986,0.17108802389033095,0.11075275736496604,0.16323178353431023
2026-09-30,0.2983449614029656,0.15639913093836544,0.18202564459159398,0.16454074730580714,0.1419458304646002,0.11631931681137164,0.13380421409715848
