Month,Benchmark,ExcessReturn
2023-12-31,QQQ,-0.5216409841556782
2024-02-29,QQQ,-0.44803618660930744
2024-01-31,QQQ,-0.41779363215077936
2023-11-30,QQQ,-0.35203527976871796
2023-10-31,QQQ,-0.34374979673531203
2024-03-31,QQQ,-0.296349783164112
2024-04-30,QQQ,-0.26730956398283445
2024-02-29,SPY,-0.24394453041068442
2023-12-31,SPY,-0.2348422521979885
2023-12-31,VTI,-0.2335544191346801
2024-02-29,VTI,-0.22832117818052033
2024-10-31,QQQ,-0.22302303745069563
2024-10-31,VTI,-0.2133020465506128
2024-10-31,SPY,-0.21268388343875344
2024-06-30,QQQ,-0.20893375183775165
2024-03-31,SPY,-0.1997780042851336
2024-09-30,QQQ,-0.19881513255283934
2024-01-31,SPY,-0.19874471414294703
2024-03-31,VTI,-0.1965665111328061
2024-09-30,SPY,-0.1875166196359459
2024-01-31,VTI,-0.18473772429578195
2024-09-30,VTI,-0.17960672714479298
2024-11-30,VTI,-0.1747119162484876
2024-05-31,QQQ,-0.17216287050483547
