Month,Strategy,SPY,QQQ,VTI
2020-10-31,-0.04615801032144562,-0.061477745292985664,-0.07765523153195963,-0.06085104324790891
2020-11-30,0.13770487086452587,0.10877671066789252,0.11225758970417621,0.11803063298691407
2020-12-31,0.08311213947703111,0.037048277013858044,0.04902460178261436,0.04676361375668403
2021-01-31,0.061356981273273936,-0.010190277766667477,0.0026135536462705833,-0.0033396643342413768
2021-02-28,0.008685377216286927,0.027805348528231244,-0.0013352870110494575,0.031393579719918296
2021-03-31,-0.007315443503667418,0.045399613548978035,0.01716750772617104,0.036479324946759206
2021-04-30,0.01201922842020764,0.05291023221552349,0.05909810019659867,0.05036505684751669
2021-05-31,-0.008003256033955908,0.006566055498012924,-0.012011778730215639,0.004560074416736226
2021-06-30,0.02781134987848599,0.02242737354966251,0.06262126421372183,0.024819919650466593
2021-07-31,-0.0019503264330062997,0.02441258250725631,0.02860912759461587,0.017368103034526294
2021-08-31,0.017671525692103174,0.029759790150246435,0.04218683476733176,0.02858559013224915
2021-09-30,-0.023342385810707578,-0.04660533916455356,-0.05683174637908517,-0.04464151406144934
2021-10-31,0.048004848343553785,0.0701634592193825,0.07864012812098942,0.06687361754669152
2021-11-30,-0.028888679722375632,-0.008034845540136892,0.01996852662326498,-0.014604676455044263
2021-12-31,0.019598235681030696,0.046247717939175814,0.011523276938060878,0.037930396083593054
2022-01-31,-0.02386102337981777,-0.05274125215796821,-0.08747003385603569,-0.06059479731627393
2022-02-28,-0.0007348577311341309,-0.029516983607058678,-0.04475977268992082,-0.024866676735065707
2022-03-31,0.024326576548713952,0.03759053503322485,0.04667906477418682,0.032599497806579336
2022-04-30,-0.01243644807081068,-0.0877690916459567,-0.13595776870793508,-0.09131620051347511
2022-05-31,-0.003279010483531297,0.0022571343881383488,-0.015865712668785115,-0.0025137443957199412
2022-06-30,-0.0710783218810137,-0.0824602631707525,-0.08907880791498146,-0.08231277114235991
2022-07-31,0.01559880815102166,0.0920872318487862,0.12551738019211323,0.09346837999632052
2022-08-31,0.0012461706867876732,-0.04080192901566826,-0.05132201880353404,-0.03728484605244953
2022-09-30,-0.04328242053929354,-0.09244584720417381,-0.10535553029595346,-0.09230482190945577
2022-10-31,0.03446227092803489,0.08127536110114719,0.039998785289387495,0.08112756956469602
2022-11-30,0.02832778741923958,0.05559184847927101,0.055441563995648036,0.05169304180879397
2022-12-31,-0.0038988786752303106,-0.05762823355686453,-0.09013656239116496,-0.058552441025463864
2023-01-31,0.02037184408427173,0.06288721413461129,0.10642925566333994,0.0692503795906998
