Month,Benchmark,ExcessReturn
2023-12-31,QQQ,-0.47483794502614174
2024-02-29,QQQ,-0.3873895053943208
2024-01-31,QQQ,-0.3681722707992874
2023-11-30,QQQ,-0.31845402738327766
2023-09-30,QQQ,-0.30498509361111203
2023-10-31,QQQ,-0.2819904550701383
2023-06-30,QQQ,-0.2557286204345548
2024-03-31,QQQ,-0.22696100677314313
2023-08-31,QQQ,-0.22156280139663198
2024-04-30,QQQ,-0.21484057812361157
2023-12-31,SPY,-0.1880398281825073
2023-12-31,VTI,-0.1867518281559155
2024-02-29,SPY,-0.18329784919569536
2023-05-31,QQQ,-0.17425348628011783
2023-09-30,SPY,-0.17102922659817543
2024-02-29,VTI,-0.16767468025424082
2022-01-31,SPY,-0.16518048922430117
2023-09-30,VTI,-0.15834935867537125
2024-01-31,SPY,-0.1491232580978683
2024-06-30,QQQ,-0.14569025298011606
2023-07-31,QQQ,-0.13519371014747605
2024-01-31,VTI,-0.13511653447134275
2024-03-31,SPY,-0.13038898324699488
2024-03-31,VTI,-0.12717748983031663
