Benchmark,RollingPeriods,Average12MExcess,Median12MExcess,Worst12MExcess,Worst12MExcessMonth,Best12MExcess,Best12MExcessMonth,Latest12MExcess,HitRate12M
SPY,59,-0.012954479233971762,-0.02725175235276822,-0.19293002240464285,2023-12-31,0.3323647809915542,2026-02-28,0.18634858191196346,0.4067796610169492
QQQ,59,-0.04052430690862699,-0.05483660136321067,-0.47972779605631444,2023-12-31,0.29932425124817064,2026-02-28,0.12073831595097206,0.3728813559322034
VTI,59,-0.002777987205682163,-0.02562612134999709,-0.19164221113490254,2023-12-31,0.3299532695036398,2026-02-28,0.17963246416494627,0.423728813559322
