,Weight
MLPA,0.11307718133578995
EIS,0.10275101836363668
EWT,0.0969561636064867
XBI,0.0766296302812797
OIH,0.07575769403848939
DIV,0.07507690493285382
EWY,0.06208744136592725
SMH,0.061496527241143205
GLDM,0.05613147755494625
LIT,0.05434212164674035
TUR,0.05197640711566829
IXC,0.04453712142640102
AVUV,0.03545963636534352
CIBR,0.03545963636534352
KIE,0.035459636365343515
SGOV,0.022801401994606747
