Date,DailyReturn,EquityCurve
2021-10-11,-0.0027693793669952716,0.9972306206330047
2021-10-12,0.00162886132472537,0.9988549710227856
2021-10-13,0.004011844428345611,1.0028622217730088
2021-10-14,0.010762783459500963,1.0136558107056657
2021-10-15,0.002215820212209088,1.0159018897392504
2021-10-18,0.0005500608211198368,1.0164606975668975
2021-10-19,0.001540072388521485,1.0180261206212375
2021-10-20,0.0037084429121992837,1.021801412372689
2021-10-21,-0.004646735248325623,1.0170533717330281
2021-10-22,0.000997102739857824,1.0180674784365649
2021-10-25,0.0026354328065835227,1.0207505268685524
2021-10-26,0.00021509531581886222,1.0209700855255015
2021-10-27,-0.010012196861439553,1.0107479320395794
2021-10-28,0.0029543197824167928,1.0137340046502408
2021-10-29,-0.003175837280361193,1.0105145504059028
2021-11-01,0.010662549362780433,1.0212892116814134
2021-11-02,-5.2466702223818884e-05,1.0212356280044597
2021-11-03,0.00025712215930949315,1.021498210314296
2021-11-04,-0.002430493168616282,1.0190154658923734
2021-11-05,0.00672371158787385,1.0258670319886165
2021-11-08,0.006473102480279871,1.0325075744178194
2021-11-09,-0.0015747027535047726,1.0308816818973692
2021-11-10,-0.008872805731909432,1.0217348690013097
2021-11-11,0.006886727743392178,1.0287712788700523
2021-11-12,0.0035346178305297113,1.0324075921758833
2021-11-15,0.0002835246748078136,1.0327003052027242
2021-11-16,-0.0010322633937968138,1.0316342864809005
2021-11-17,-0.007428149733885487,1.0239711525303103
2021-11-18,-0.0031448139376601004,1.0207509537780712
2021-11-19,-0.008900495160406408,1.0116657648539893
2021-11-22,-0.008457950169041436,1.003109146227129
2021-11-23,0.01019266358937717,1.0133335002980497
2021-11-24,-8.470870734206249e-05,1.0132476621271331
2021-11-26,-0.028308562923130554,0.9845640769270922
2021-11-29,0.001117208968960709,0.9856640407443517
2021-11-30,-0.009225704146939505,0.9765705959161673
2021-12-01,-0.008920473226283239,0.9678591240617217
2021-12-02,0.01707035194263964,0.9843808199403502
2021-12-03,-0.009434247641766756,0.9750939275112276
2021-12-06,0.010749351321706648,0.9855755547097086
2021-12-07,0.014010077469393726,0.9993835445831323
2021-12-08,0.0022400263638469396,1.0016221900705933
2021-12-09,-0.009056381888009684,0.9925511170098094
2021-12-10,0.00382504118616011,0.996347665911741
2021-12-13,-0.010496552870751134,0.9858894499588489
2021-12-14,-0.0031405077156750347,0.9827932565344504
2021-12-15,0.005870465080151787,0.9885627100279445
2021-12-16,-0.00026906371875021174,0.9882967236689666
2021-12-17,-0.00760014195868438,0.9807855282717798
2021-12-20,-0.01565757900928689,0.9654288013716992
2021-12-21,0.015224471229369445,0.9801269443821872
2021-12-22,0.006358090475336032,0.9863586801718837
2021-12-23,0.004873644137707023,0.9911658413711798
2021-12-27,0.010418411327099662,1.0014922147999556
