Ticker,Overlay,ActionType,WeightBefore,WeightAfter,WeightReleased,WeightRedistributedToEligible,WeightFreedToSGOV,Reason,Date,StartWindow,AboveSMA126,Mom63,Mom126
EIS,StalePosition,SoftTargetTrim,0.12,0.06,0.06,0.06,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2021-12-02,2021-01-01,,,
INDA,StalePosition,SoftTargetTrim,0.12,0.06,0.06,0.06,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2021-12-02,2021-01-01,,,
JMOM,StalePosition,SoftTargetTrim,0.12,0.06,0.06,0.06,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2021-12-02,2021-01-01,,,
KCE,StalePosition,SoftTargetTrim,0.12,0.06,0.06,0.06,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2021-12-02,2021-01-01,,,
SMIN,StalePosition,SoftTargetTrim,0.12,0.06,0.06,0.06,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2021-12-02,2021-01-01,,,
XOP,StalePosition,SoftTargetTrim,0.12,0.06,0.06,0.06,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2021-12-02,2021-01-01,,,
KSA,StalePosition,HardExit,0.07642210633411226,0.0,0.07642210633411226,0.0,0.07642210633411226,Ineligible and below SMA126 -> hard exit after turnover cap,2021-12-02,2021-01-01,False,-0.033421472504426175,0.04104056638884601
INDA,StalePosition,SoftTargetTrim,0.11054022431452097,0.055270112157260486,0.055270112157260486,0.055270112157260486,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2021-12-31,2021-01-01,,,
JMOM,StalePosition,SoftTargetTrim,0.11054022431452097,0.055270112157260486,0.055270112157260486,0.055270112157260486,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2021-12-31,2021-01-01,,,
KCE,StalePosition,SoftTargetTrim,0.11054022431452097,0.055270112157260486,0.055270112157260486,0.055270112157260486,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2021-12-31,2021-01-01,,,
SMIN,StalePosition,SoftTargetTrim,0.11054022431452097,0.055270112157260486,0.055270112157260486,0.055270112157260486,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2021-12-31,2021-01-01,,,
XOP,StalePosition,SoftTargetTrim,0.11054022431452097,0.055270112157260486,0.055270112157260486,0.055270112157260486,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2021-12-31,2021-01-01,,,
EIS,StalePosition,SoftTargetTrim,0.10192079504085452,0.05096039752042726,0.05096039752042726,0.05096039752042726,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2022-02-02,2021-01-01,,,
