Date,StartWindow,Ticker,AllocationBucket,PlainEnglishExplanation,Score,RankInScoreTable,EligibleAfterFiltersAndCorrelation,AboveSMA50,AboveSMA126,PositiveMom63,PositiveMom126,Mom21,Mom126Skip21,Mom63,Mom126,RS63VsSPY,RS126VsSPY,Vol63Ann,DownsideVol63Ann,OptimizerUsed,OptimizerFallbackReason,OptimizerRawWeight,OptimizerWeightAfterCap,ScoreRankPct,CenteredScoreRank,ScoreTiltMultiplier,ScoreTiltPreCapWeight,RiskWeightAfterScoreTilt,CashWeight,SignalBreadth,BreadthCashWeight,VolCashWeight,ActiveSleeveVol,RiskWeightBeforeCashScaling,CashScaledTargetWeight,PreviousFinalWeight,WeightBeforeTurnoverCap,WeightAfterTurnoverCapBeforePrune,WeightAfterPruningFinal,FinalWeight,FinalWeightPct,WeightChangeFromPrevious,TurnoverContributionOneWay,TurnoverBeforePrune,TurnoverAfterPrune,PrunedOrReducedByCleanup,TradeableDisplayCandidate,InFinalPortfolio
2021-11-02,2021-01-01,XOP,Selected and allocated,"XOP passed the latest signal filters, survived the correlation filter, was sized by Classic CVaR, adjusted by the score tilt, then scaled by the cash sleeve and turnover/pruning rules.",29.63734269994668,2.0,True,True,True,True,True,0.05909930626829207,0.22048555763539124,0.34014965044355683,0.29261540740211234,0.29120969523216234,0.18326433607379378,0.38808473647314873,0.20295343425845166,Classic_CVaR_Sharpe,,0.11999999978682512,0.12,0.9333333333333333,0.4,1.14,0.13528481019236113,0.12,0.0,0.8220338983050848,0.0,0.0,0.11739054221639188,0.12,0.12,0.0,0.12,0.12,0.12,0.12,12.0,0.12,0.06,,,False,True,True
2021-11-02,2021-01-01,SMIN,Selected and allocated,"SMIN passed the latest signal filters, survived the correlation filter, was sized by Classic CVaR, adjusted by the score tilt, then scaled by the cash sleeve and turnover/pruning rules.",22.752259515122944,8.0,True,True,True,True,True,0.002116593553208368,0.2283998973297292,0.07248656655615204,0.2309999206331792,0.02354661134475755,0.12164884930486064,0.16783042034837883,0.11087252014589322,Classic_CVaR_Sharpe,,0.11999999994122358,0.12000000000000001,0.7333333333333333,0.19999999999999996,1.07,0.12697784816300564,0.12,0.0,0.8220338983050848,0.0,0.0,0.11739054221639188,0.12,0.12,0.0,0.12,0.12,0.12,0.12,12.0,0.12,0.06,,,False,True,True
2021-11-02,2021-01-01,INDA,Selected and allocated,"INDA passed the latest signal filters, survived the correlation filter, was sized by Classic CVaR, adjusted by the score tilt, then scaled by the cash sleeve and turnover/pruning rules.",20.838655779447645,9.0,True,True,True,True,True,-0.00040413100662872736,0.1738410359632634,0.07520111447824851,0.1733666504037774,0.026261159266854017,0.06401557907545885,0.12167600728889826,0.07273395629119021,Classic_CVaR_Sharpe,,0.11999999917754356,0.11999999945235709,0.6666666666666666,0.1333333333333333,1.0466666666666666,0.12420886025303629,0.12,0.0,0.8220338983050848,0.0,0.0,0.11739054221639188,0.12,0.12,0.0,0.12,0.12,0.12,0.12,12.0,0.12,0.06,,,False,True,True
2021-11-02,2021-01-01,KSA,Selected and allocated,"KSA passed the latest signal filters, survived the correlation filter, was sized by Classic CVaR, adjusted by the score tilt, then scaled by the cash sleeve and turnover/pruning rules.",20.210234083390993,10.0,True,True,True,True,True,0.01811760916108862,0.1437346289628485,0.06786765240379733,0.16445636595440005,0.018927697192402837,0.05510529462608149,0.0980375579689706,0.05153928515367762,Classic_CVaR_Sharpe,,0.1199999999767482,0.12000000000000001,0.5333333333333333,0.0,1.0,0.11867088613365014,0.12,0.0,0.8220338983050848,0.0,0.0,0.11739054221639188,0.12,0.12,0.0,0.12,0.12,0.12,0.12,12.0,0.12,0.06,,,False,True,True
2021-11-02,2021-01-01,KCE,Selected and allocated,"KCE passed the latest signal filters, survived the correlation filter, was sized by Classic CVaR, adjusted by the score tilt, then scaled by the cash sleeve and turnover/pruning rules.",20.207371943797924,11.0,True,True,True,True,True,0.11390845318505316,0.07349011933829308,0.12437572635340155,0.1957697183415561,0.07543577114200706,0.08641864701323754,0.17347457059708385,0.11278186650203563,Classic_CVaR_Sharpe,,0.119999999937627,0.12000000000000001,0.6,0.06666666666666665,1.0233333333333334,0.12143987347676866,0.12,0.0,0.8220338983050848,0.0,0.0,0.11739054221639188,0.12,0.12,0.0,0.12,0.12,0.12,0.12,12.0,0.12,0.06,,,False,True,True
2021-11-02,2021-01-01,JMOM,Selected and allocated,"JMOM passed the latest signal filters, survived the correlation filter, was sized by Classic CVaR, adjusted by the score tilt, then scaled by the cash sleeve and turnover/pruning rules.",18.9347759514589,12.0,True,True,True,True,True,0.09408004183746921,0.08493718678962292,0.06526770116925307,0.18700812271381673,0.016327745957858575,0.07765705138549817,0.12976270214996377,0.091202172022799,Classic_CVaR_Sharpe,,0.11999999057873204,0.11999999085354557,0.4666666666666667,-0.06666666666666665,0.9766666666666667,0.11590188995643633,0.12,0.0,0.8220338983050848,0.0,0.0,0.11739054221639188,0.12,0.12,0.0,0.12,0.12,0.12,0.12,12.0,0.12,0.06,,,False,True,True
2021-11-02,2021-01-01,EIS,Selected and allocated,"EIS passed the latest signal filters, survived the correlation filter, was sized by Classic CVaR, adjusted by the score tilt, then scaled by the cash sleeve and turnover/pruning rules.",18.658000910195444,15.0,True,True,True,True,True,0.09170185564560396,0.05639937143852647,0.10711739170418522,0.15327315410228892,0.058177436492790724,0.04392208277397036,0.13412763006328926,0.08314577605947532,Classic_CVaR_Sharpe,,0.11999999968469316,0.11999999995950669,0.4,-0.1333333333333333,0.9533333333333334,0.11313291140923708,0.12,0.0,0.8220338983050848,0.0,0.0,0.11739054221639188,0.12,0.12,0.0,0.12,0.12,0.12,0.12,12.0,0.12,0.06,,,False,True,True
2021-11-02,2021-01-01,UAE,Selected and allocated,"UAE passed the latest signal filters, survived the correlation filter, was sized by Classic CVaR, adjusted by the score tilt, then scaled by the cash sleeve and turnover/pruning rules.",18.363973411360874,17.0,True,True,True,True,True,0.036881327686447696,0.11559802308727885,0.0665273653401488,0.1567427593431141,0.01758741012875431,0.04739168801479554,0.13666092800683496,0.08490972630959716,Classic_CVaR_Sharpe,,0.11999999993340547,0.12000000000000001,0.26666666666666666,-0.26666666666666666,0.9066666666666667,0.10759493676117614,0.11923286931893594,0.0,0.8220338983050848,0.0,0.0,0.11739054221639188,0.11923286931893594,0.11923286931893594,0.0,0.11923286931893594,0.11923286931893594,0.11923286931893594,0.11923286931893594,11.923286931893594,0.11923286931893594,0.05961643465946797,,,False,True,True
2021-11-02,2021-01-01,XLY,Selected and allocated,"XLY passed the latest signal filters, survived the correlation filter, was sized by Classic CVaR, adjusted by the score tilt, then scaled by the cash sleeve and turnover/pruning rules.",18.396875171873575,16.0,True,True,True,True,True,0.12976859189821766,0.026056734121827407,0.11804905345508798,0.15920667171650082,0.06910909824369349,0.049855600388182264,0.14528657909397288,0.0930850544911351,Classic_CVaR_Sharpe,,0.040000009642986126,0.04000000973459066,0.3333333333333333,-0.2,0.93,0.036787983654328414,0.040767130681064065,0.0,0.8220338983050848,0.0,0.0,0.11739054221639188,0.040767130681064065,0.040767130681064065,0.0,0.040767130681064065,0.040767130681064065,0.040767130681064065,0.040767130681064065,4.0767130681064065,0.040767130681064065,0.020383565340532032,,,False,True,True
2021-11-02,2021-01-01,LIT,Selected but not final,"LIT passed the latest signal/correlation process but did not survive final sizing, cash scaling, turnover, or pruning into the final portfolio.",30.60964736198872,1.0,True,True,True,True,True,0.1407790163507454,0.3090408363060646,0.08044362783728154,0.49332631760418955,0.03150367262588705,0.383975246275871,0.3056292708924879,0.21062206645612264,Classic_CVaR_Sharpe,,1.8734285143135375e-10,0.0,1.0,0.4666666666666667,1.1633333333333333,0.0,0.0,0.0,0.8220338983050848,0.0,0.0,0.11739054221639188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False
