Date,Strategy,SPY,QQQ,VTI
2021-11-03,0.0,0.0,0.0,0.0
2021-11-04,0.0,0.0,0.0,0.0
2021-11-05,0.0,0.0,0.0,0.0
2021-11-08,0.0,0.0,-0.0013548537025140917,0.0
2021-11-09,-0.0039094139402860995,-0.0033054424408591743,-0.008229043956188509,-0.002883251113630636
2021-11-10,-0.015401437113414684,-0.01132358527542443,-0.022805009735671566,-0.012687245821083715
2021-11-11,-0.006997442525477737,-0.01100382017610202,-0.020095459935912996,-0.011492612055470919
2021-11-12,-0.0009449619141751464,-0.0035400432734423726,-0.009784213956719023,-0.004160349893611914
2021-11-15,-0.00025852225239553217,-0.0031987615297111027,-0.010010141111090332,-0.004160349893611914
2021-11-16,0.0,0.0,-0.0029603785867707844,0.0
2021-11-17,-0.008424546906749875,-0.00242887444834472,-0.002433582972200421,-0.004118708863731668
2021-11-18,-0.010991890272946558,0.0,0.0,-0.002553545735241358
2021-11-19,-0.019994242560141706,-0.0017884523668221242,0.0,-0.00539544813118209
2021-11-22,-0.03093220615977721,-0.004598521164484559,-0.011609274699652561,-0.010173325133995714
2021-11-23,-0.022062149803504405,-0.0032785406295203767,-0.016114260771679767,-0.009843774664624938
2021-11-24,-0.022314491004995607,-0.0006175845936028379,-0.012945896704178339,-0.006507479364287416
2021-11-26,-0.053043849577616764,-0.02290696299086381,-0.03165914902639466,-0.02800782507643862
2021-11-29,-0.04890207740666952,-0.010921401152755306,-0.010643837236434028,-0.018863874756844035
2021-11-30,-0.055698924069692124,-0.030166370900949424,-0.02517383822309749,-0.038469372470453234
2021-12-01,-0.0654032054151914,-0.040938312840375635,-0.041758416399545695,-0.05202018671345776
2021-12-02,-0.0488170545445854,-0.026249181421519996,-0.03485231574757797,-0.03661591988160384
2021-12-03,-0.06076421785726105,-0.0347221399399712,-0.051635004148418706,-0.04777776202303141
2021-12-06,-0.049328236232110245,-0.02329006915242926,-0.04403575096487378,-0.03554508245716981
2021-12-07,-0.03271841931040098,-0.003087091484213267,-0.015247878420657224,-0.01490980672711717
2021-12-08,-0.029799970445081425,-0.0004472689949185371,-0.010841791958295599,-0.010667650838052323
2021-12-09,-0.0383716115732573,-0.007195868689583662,-0.0253965178473754,-0.020099554616304194
2021-12-10,-0.03457759198885235,0.0,-0.014802285918305236,-0.013427031215969554
2021-12-13,-0.04761070602662565,-0.008858429069752205,-0.029035510324707303,-0.02240600469985765
2021-12-14,-0.05137982030033972,-0.01567745583040825,-0.039085094639229156,-0.029737427437912745
2021-12-15,-0.04669112499884909,-0.00029730912425796063,-0.017178597844563992,-0.014786426902124616
2021-12-16,-0.05123789965082193,-0.009113285216732492,-0.042451646682388544,-0.02582468761753809
2021-12-17,-0.05839948872412615,-0.019659392987418145,-0.047228839934791655,-0.030273014150980937
2021-12-20,-0.07608870906004295,-0.030083534875501194,-0.05647105510877537,-0.043906148810987755
2021-12-21,-0.05945186181659001,-0.012858827049128996,-0.03535466667371623,-0.025165788279817303
