Date,StartWindow,Ticker,AllocationBucket,PlainEnglishExplanation,Score,RankInScoreTable,EligibleAfterFiltersAndCorrelation,AboveSMA50,AboveSMA126,PositiveMom63,PositiveMom126,Mom21,Mom63,Mom126,RS63VsSPY,RS126VsSPY,Vol63Ann,OptimizerUsed,OptimizerFallbackReason,OptimizerRawWeight,OptimizerWeightAfterCap,ScoreRankPct,CenteredScoreRank,ScoreTiltMultiplier,ScoreTiltPreCapWeight,RiskWeightAfterScoreTilt,CashWeight,SignalBreadth,BreadthCashWeight,VolCashWeight,ActiveSleeveVol,RiskWeightBeforeCashScaling,CashScaledTargetWeight,PreviousFinalWeight,WeightBeforeTurnoverCap,WeightAfterTurnoverCapBeforePrune,WeightAfterPruningFinal,FinalWeight,FinalWeightPct,WeightChangeFromPrevious,TurnoverContributionOneWay,TurnoverBeforePrune,TurnoverAfterPrune,PrunedOrReducedByCleanup,TradeableDisplayCandidate,InFinalPortfolio
2026-07-01,2023-01-01,QYLD,Not selected,QYLD was not selected for final allocation in this rebalance.,13.583309256466318,43.0,False,True,True,True,True,0.01927772699316188,0.09363584565945726,0.09659182254510434,-0.047444179062555714,0.005307515973480115,0.12098723920141968,,,0.0,0.0,,,,0.0,0.0,0.0,0.8146067415730337,0.0,0.0,0.14726235897610118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.20332772509813635,False,False,False
2026-07-01,2023-01-01,HEFA,Not selected,HEFA was not selected for final allocation in this rebalance.,13.556871929124004,44.0,False,True,True,True,True,0.018777362130034003,0.08234752464327055,0.12325472770494339,-0.05873250007874242,0.03197042113331916,0.14951801164523054,,,0.0,0.0,,,,0.0,0.0,0.0,0.8146067415730337,0.0,0.0,0.14726235897610118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.20332772509813635,False,False,False
2026-07-01,2023-01-01,VPL,Not selected,VPL was not selected for final allocation in this rebalance.,13.47660130525046,45.0,False,True,True,True,True,-0.04292608304651757,0.13289238623424193,0.2430173507897193,-0.008187638487771043,0.15173304421809508,0.31358284252253,,,0.0,0.0,,,,0.0,0.0,0.0,0.8146067415730337,0.0,0.0,0.14726235897610118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.20332772509813635,False,False,False
2026-07-01,2023-01-01,KOMP,Not selected,KOMP was not selected for final allocation in this rebalance.,13.449866517736877,46.0,False,True,True,True,True,-0.05708921943197087,0.1978117436022706,0.18216891950270608,0.05673171888025763,0.09088461293108185,0.2795302211310024,,,0.0,0.0,,,,0.0,0.0,0.0,0.8146067415730337,0.0,0.0,0.14726235897610118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.20332772509813635,False,False,False
2026-07-01,2023-01-01,VIG,Not selected,VIG was not selected for final allocation in this rebalance.,13.339482496913778,47.0,False,True,True,True,True,0.006479429598723829,0.10102360537586397,0.07642472056559635,-0.04005641934614901,-0.01485958600602788,0.09592653395389603,,,0.0,0.0,,,,0.0,0.0,0.0,0.8146067415730337,0.0,0.0,0.14726235897610118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.20332772509813635,False,False,False
2026-07-01,2023-01-01,SPY,Not selected,SPY was not selected for final allocation in this rebalance.,13.317435153372312,48.0,False,True,True,True,True,-0.01565196683395864,0.14108002472201298,0.09128430657162423,0.0,0.0,0.13736485443116508,,,0.0,0.0,,,,0.0,0.0,0.0,0.8146067415730337,0.0,0.0,0.14726235897610118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.20332772509813635,False,False,False
2026-07-01,2023-01-01,SPYX,Not selected,SPYX was not selected for final allocation in this rebalance.,13.252443801123867,49.0,False,True,True,True,True,-0.014400273276390041,0.14513791365736295,0.0854598480736084,0.004057888935349974,-0.005824458498015828,0.1390665484272419,,,0.0,0.0,,,,0.0,0.0,0.0,0.8146067415730337,0.0,0.0,0.14726235897610118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.20332772509813635,False,False,False
2026-07-01,2023-01-01,MGC,Not selected,MGC was not selected for final allocation in this rebalance.,13.115761746416917,50.0,False,True,True,True,True,-0.020825763752064907,0.14947976752442305,0.08646111811547907,0.00839974280241007,-0.0048231884561451555,0.14532124534427174,,,0.0,0.0,,,,0.0,0.0,0.0,0.8146067415730337,0.0,0.0,0.14726235897610118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.20332772509813635,False,False,False
2026-07-01,2023-01-01,DIV,Not selected,DIV was not selected for final allocation in this rebalance.,13.039762388087363,51.0,False,True,True,True,True,0.005033064610562077,0.029743462698262668,0.13244830372768424,-0.11133656202375031,0.041163997156060006,0.1132514235584109,,,0.0,0.0,,,,0.0,0.0,0.0,0.8146067415730337,0.0,0.0,0.14726235897610118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.20332772509813635,False,False,False
2026-07-01,2023-01-01,THD,Removed,THD was previously held but was removed or reduced to zero by the latest rebalance.,12.991065702386257,52.0,False,True,True,True,True,-0.023888486433474965,0.05757224851760623,0.2162698328645325,-0.08350777620440675,0.12498552629290827,0.23858888323021327,,,0.0,0.0,,,,0.0,0.0,0.0,0.8146067415730337,0.0,0.0,0.14726235897610118,0.0,0.0,0.03636366507178473,0.0,0.027526850002466144,0.0,0.0,0.0,-0.03636366507178473,0.018181832535892364,0.2,0.20332772509813635,True,False,False
