Month,Strategy_Rolling12M,SPY_Rolling12M,QQQ_Rolling12M,VTI_Rolling12M,StrategyMinusSPY_Rolling12M,StrategyMinusQQQ_Rolling12M,StrategyMinusVTI_Rolling12M
2024-09-30,0.1863960058110654,0.3476678245130822,0.3453170897081541,0.34533829908363356,-0.1612718187020168,-0.1589210838970887,-0.15894229327256815
2024-10-31,0.1886497638001361,0.3781191276707805,0.38845872497140843,0.3787376416317936,-0.1894693638706444,-0.19980896117127234,-0.19008787783165748
2024-11-30,0.21511545757248474,0.33807597377173737,0.3199497952858137,0.3445257803921018,-0.12296051619925263,-0.10483433771332895,-0.12941032281961706
2024-12-31,0.14943363270550547,0.2488645810741541,0.2557827421122534,0.23810243244174245,-0.09943094836864863,-0.10634910940674791,-0.08866879973623698
2025-01-31,0.16403435497045926,0.26230059779969217,0.26002769729501574,0.2615613914712156,-0.09826624282923291,-0.09599334232455647,-0.09752703650075634
2025-02-28,0.10048021433915055,0.1844625963872939,0.16444155537470295,0.17544918284286393,-0.08398238204814334,-0.0639613410355524,-0.07496896850371337
2025-03-31,0.040219658961356375,0.08304750398403593,0.06255774158634564,0.07168906100165273,-0.042827845022679556,-0.022338082624989264,-0.03146940204029636
2025-04-30,0.09312338694122602,0.11876551221519671,0.12667814576859104,0.11212259878625663,-0.025642125273970695,-0.03355475882736503,-0.018999211845030617
2025-05-31,0.09644149596249951,0.131826836231286,0.15880069559534915,0.1279912338378102,-0.03538534026878648,-0.06235919963284964,-0.03154973787531068
2025-06-30,0.12609834372541706,0.14943499049859987,0.15788323255262982,0.1508012400867873,-0.023336646773182812,-0.031784888827212754,-0.02470289636137024
2025-07-31,0.11367155667075401,0.16183914466027272,0.20618781839534583,0.15530208942243928,-0.0481675879895187,-0.09251626172459182,-0.04163053275168527
2025-08-31,0.14714905560835456,0.15860800079097426,0.2043995886158152,0.15778782214990827,-0.011458945182619695,-0.057250533007460636,-0.010638766541553712
2025-09-30,0.18401779147057917,0.17519371681708606,0.23672868525579638,0.1735500520279456,0.008824074653493108,-0.052710893785217205,0.010467739442633572
2025-10-31,0.22311572287968517,0.21404070387108565,0.30715103636031227,0.20856756772047746,0.009075019008599527,-0.0840353134806271,0.01454815515920771
2025-11-30,0.18135220020830323,0.147951895160515,0.22139148500561845,0.13568000948193926,0.03340030504778824,-0.04003928479731522,0.04567219072636397
2025-12-31,0.3033803142106952,0.17719080450516556,0.2077254825855661,0.17098268307054187,0.12618950970552967,0.09565483162512911,0.13239763114015335
2026-01-31,0.4048921784960535,0.16329786696325077,0.1966990198449181,0.15447812919541626,0.24159431153280275,0.2081931586511354,0.25041404930063726
2026-02-28,0.5405167192229985,0.16807307515012337,0.20111375023058176,0.17048469271396205,0.3724436440728751,0.33940296899241673,0.37003202650903644
2026-03-31,0.4465249014568111,0.17591519435566894,0.23682873612220945,0.18105857930668834,0.2706097071011422,0.20969616533460167,0.2654663221501228
2026-04-30,0.5479253684299024,0.31081321350709046,0.4111765210633227,0.3135642115168178,0.2371121549228119,0.13674884736657966,0.23436115691308457
2026-05-31,0.5432826141511506,0.2982098357694669,0.4291454702201798,0.300343567648941,0.24507277838168373,0.11413714393097085,0.24293904650220965
2026-06-30,0.4490020300076676,0.22205143689236517,0.34135794117211904,0.23173381767796952,0.2269505931153024,0.10764408883554855,0.21726821232969806
2026-07-31,0.4056837419857291,0.20740015947264223,0.2764317814195385,0.2119031765207675,0.19828358251308686,0.1292519605661906,0.19378056546496158
