Benchmark,RollingPeriods,Average12MExcess,Median12MExcess,Worst12MExcess,Worst12MExcessMonth,Best12MExcess,Best12MExcessMonth,Latest12MExcess,HitRate12M
SPY,23,0.06207189322671016,0.003846315996930416,-0.1299220676537871,2024-10-31,0.36739650753295283,2026-02-28,0.18610993605415715,0.5652173913043478
QQQ,23,0.02403020900668721,-0.03549021269769925,-0.14026139129996773,2024-10-31,0.33435595449306277,2026-02-28,0.13850478733032157,0.391304347826087
VTI,23,0.06440973532756936,0.007535345337140065,-0.1305401722660664,2024-10-31,0.3649851180856063,2026-02-28,0.1807842586296644,0.5652173913043478
