Ticker,Score,Mom21,Mom63,Mom126,RS63VsSPY,RS126VsSPY,Vol63Ann,AboveSMA50,AboveSMA126,PositiveMom63,PositiveMom126,OutperformSPY63,OutperformSPY126,Date,StartWindow,Eligible,Rank
URA,33.20270821880679,0.02817480789317406,0.20709478802574255,0.3217847288149678,0.23535178584053118,0.27237140126437454,0.30176971145034637,True,True,True,True,True,True,2023-10-04,2023-01-01,True,1
TUR,30.912568064374383,0.007005677128891108,0.29582634305112565,0.21630544716023392,0.3240833408659143,0.16689211960964068,0.32238170400099875,True,True,True,True,True,True,2023-10-04,2023-01-01,True,2
SMIN,29.210474076146706,-0.012396063927522016,0.08517245187577438,0.2522650909665838,0.11342944969056301,0.20285176341599054,0.12256263437328653,True,True,True,True,True,True,2023-10-04,2023-01-01,True,3
UAE,26.160173818626113,0.05434790981287008,0.05077864483147709,0.11793698369229455,0.07903564264626572,0.0685236561417013,0.11698411692533932,True,True,True,True,True,True,2023-10-04,2023-01-01,True,4
BKLN,22.374364745782863,-0.001498091255625833,0.019831243568595447,0.04993035532449741,0.04808824138338408,0.0005170277739041662,0.025065969650778383,True,True,True,True,True,True,2023-10-04,2023-01-01,True,5
INDA,19.749336081997907,-0.00679191198959761,0.006192705401766085,0.10741268337289567,0.03444970321655472,0.05799935582230242,0.09408289256092596,False,True,True,True,True,True,2023-10-04,2023-01-01,True,6
KIE,19.26834639011259,0.0012615921804766117,0.03150692764253904,0.08038463523475614,0.05976392545732767,0.030971307684162896,0.12124811531655305,False,True,True,True,True,True,2023-10-04,2023-01-01,True,7
XLC,18.77886769649625,-0.013843773219516797,0.013898819115361727,0.13507266945879337,0.04215581693015036,0.08565934190820013,0.16086408580421258,False,True,True,True,True,True,2023-10-04,2023-01-01,True,8
MLPA,18.599727681674572,-0.009407992993882841,0.0236206734022133,0.06673696386998951,0.05187767121700193,0.017323636319396263,0.09845346867276265,False,True,True,True,True,True,2023-10-04,2023-01-01,True,9
JEPQ,14.9911908738189,-0.027538500344529426,-0.0010635749366401104,0.10368044377716168,0.02719342287814852,0.054267116226568435,0.12190666536453612,False,True,False,True,True,True,2023-10-04,2023-01-01,True,10
QTEC,14.95167897956826,-0.0571467099910683,0.002296161208628744,0.15545000859513625,0.030553159023417376,0.106036681044543,0.23004667195282769,False,True,True,True,True,True,2023-10-04,2023-01-01,False,11
IGV,14.699500798816597,-0.0660457715364483,0.0006474509804368367,0.1382980299971901,0.028904448795225468,0.08888470244659685,0.1996517539058042,False,True,True,True,True,True,2023-10-04,2023-01-01,False,12
SHYG,14.337714860507017,-0.012324401952800712,0.0054661689464530205,0.0158365961276139,0.03372316676124165,-0.033576731422979345,0.04700764780292321,False,False,True,True,True,False,2023-10-04,2023-01-01,False,13
QQQM,14.074416685768309,-0.038785048188913485,-0.016334931852781454,0.14306318174673582,0.011922065962007178,0.09364985419614258,0.16549414175708255,False,True,False,True,True,True,2023-10-04,2023-01-01,False,14
CIBR,13.957034576917891,-0.04981118777715754,0.006483627626081345,0.07321109167273776,0.03474062544086998,0.023797764122144516,0.17476609961895262,False,True,True,True,True,True,2023-10-04,2023-01-01,False,15
TMFC,13.768690381582573,-0.04057330898360667,-0.019223036129869087,0.12789345466152335,0.009033961684919545,0.07848012711093011,0.14953639682594227,False,True,False,True,True,True,2023-10-04,2023-01-01,False,16
OIH,13.612348152871402,-0.08767410577638346,0.04904123077385725,0.14193217155369675,0.07729822858864588,0.0925188440031035,0.2678917332137179,False,True,True,True,True,True,2023-10-04,2023-01-01,False,17
IXC,13.303680447255832,-0.05222240035580772,0.058313121653523314,0.010023010642035812,0.08657011946831195,-0.03939031690855743,0.17805854274257701,False,True,True,True,True,False,2023-10-04,2023-01-01,False,18
XLE,13.189967267747557,-0.05344326325661153,0.06922621579779364,0.009892715828867082,0.09748321361258228,-0.03952061172172616,0.19379467094624764,False,True,True,True,True,False,2023-10-04,2023-01-01,False,19
VUG,12.628299043413026,-0.04694446684603093,-0.02374246223809995,0.11424641519168244,0.004514535576688683,0.0648330876410892,0.15403197592169732,False,True,False,True,True,True,2023-10-04,2023-01-01,False,20
KCE,11.561203942759679,-0.04312373430759442,0.009637992822609798,0.0626189646451023,0.03789499063739843,0.01320563709450906,0.1557810109369989,False,False,True,True,True,True,2023-10-04,2023-01-01,False,21
XOP,11.372007705885302,-0.09225713294262383,0.06810723847763489,0.047918406677447845,0.09636423629242352,-0.0014949208731454,0.23899021949286786,False,True,True,True,True,False,2023-10-04,2023-01-01,False,22
XLK,11.251930280017506,-0.05542835970730875,-0.03473937333822086,0.1172395535593187,-0.006482375523432227,0.06782622600872545,0.17614533198926285,False,True,False,True,False,True,2023-10-04,2023-01-01,False,23
SUSB,10.821224457602781,-0.0021931467618242495,0.002692143794760682,-0.007385689051440325,0.030949141609549313,-0.05679901660203357,0.030618893109203234,False,False,True,False,True,False,2023-10-04,2023-01-01,False,24
USHY,10.471072757911834,-0.019808030932619403,-0.0007104281856757932,0.008340285936826897,0.027546569629112838,-0.04107304161376635,0.06310474147182399,False,False,False,True,True,False,2023-10-04,2023-01-01,False,25
SMH,10.209604758693876,-0.06170830950587225,-0.025763055392753254,0.14717981474201003,0.002493942422035378,0.09776648719141678,0.2511978668873008,False,True,False,True,True,True,2023-10-04,2023-01-01,False,26
