Date,StartWindow,Ticker,AllocationBucket,PlainEnglishExplanation,Score,RankInScoreTable,EligibleAfterFiltersAndCorrelation,AboveSMA50,AboveSMA126,PositiveMom63,PositiveMom126,Mom21,Mom63,Mom126,RS63VsSPY,RS126VsSPY,Vol63Ann,OptimizerUsed,OptimizerFallbackReason,OptimizerRawWeight,OptimizerWeightAfterCap,ScoreRankPct,CenteredScoreRank,ScoreTiltMultiplier,ScoreTiltPreCapWeight,RiskWeightAfterScoreTilt,CashWeight,SignalBreadth,BreadthCashWeight,VolCashWeight,ActiveSleeveVol,RiskWeightBeforeCashScaling,CashScaledTargetWeight,PreviousFinalWeight,WeightBeforeTurnoverCap,WeightAfterTurnoverCapBeforePrune,WeightAfterPruningFinal,FinalWeight,FinalWeightPct,WeightChangeFromPrevious,TurnoverContributionOneWay,TurnoverBeforePrune,TurnoverAfterPrune,PrunedOrReducedByCleanup,TradeableDisplayCandidate,InFinalPortfolio
2023-10-17,2023-01-01,SGOV,Cash / risk control,SGOV is the SGOV/cash sleeve. It receives the cash allocation created by breadth and volatility risk controls.,,,False,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,0.34538857677902624,0.44276685393258425,0.34538857677902624,0.0,0.09526893574576002,0.0,0.34538857677902624,0.0,0.34538857677902624,0.34538857677902624,0.34538857677902624,0.34538857677902624,34.53885767790263,0.34538857677902624,0.17269428838951312,,,False,True,True
2023-10-17,2023-01-01,SMIN,Selected and allocated,"SMIN passed the latest signal filters, survived the correlation filter, was sized by Classic CVaR, adjusted by the score tilt, then scaled by the cash sleeve and turnover/pruning rules.",28.73862204319272,1.0,True,True,True,True,True,0.015652180440493435,0.07857615760669856,0.2541931300749507,0.11091278651194403,0.19372238260394115,0.13162312137496987,Classic_CVaR_Sharpe,,0.11999999990123658,0.11999999995562237,1.0,0.44999999999999996,1.1575,0.13764740848111567,0.12,0.34538857677902624,0.44276685393258425,0.34538857677902624,0.0,0.09526893574576002,0.12,0.07855337078651685,0.0,0.07855337078651685,0.07855337078651685,0.07855337078651685,0.07855337078651685,7.855337078651685,0.07855337078651685,0.039276685393258425,,,False,True,True
2023-10-17,2023-01-01,URA,Selected and allocated,"URA passed the latest signal filters, survived the correlation filter, was sized by Classic CVaR, adjusted by the score tilt, then scaled by the cash sleeve and turnover/pruning rules.",25.424161883957254,2.0,True,True,True,True,True,-0.036812248232251155,0.15416087237552945,0.30488410711935576,0.1864975012807749,0.2444133596483462,0.3018635947116502,Classic_CVaR_Sharpe,,0.11999999963836631,0.1199999996927521,0.8,0.25,1.0875,0.12932315887283033,0.12,0.34538857677902624,0.44276685393258425,0.34538857677902624,0.0,0.09526893574576002,0.12,0.07855337078651685,0.0,0.07855337078651685,0.07855337078651685,0.07855337078651685,0.07855337078651685,7.855337078651685,0.07855337078651685,0.039276685393258425,,,False,True,True
2023-10-17,2023-01-01,XLC,Selected and allocated,"XLC passed the latest signal filters, survived the correlation filter, was sized by Classic CVaR, adjusted by the score tilt, then scaled by the cash sleeve and turnover/pruning rules.",23.2958178327556,4.0,True,True,True,True,True,0.014086086946981213,0.035345884832293395,0.18094490729935475,0.06768251373753886,0.1204741598283452,0.16418588064665712,Classic_CVaR_Sharpe,,0.11999999993351022,0.11999999998789601,0.7,0.1499999999999999,1.0525,0.12516103452728955,0.12,0.34538857677902624,0.44276685393258425,0.34538857677902624,0.0,0.09526893574576002,0.12,0.07855337078651685,0.0,0.07855337078651685,0.07855337078651685,0.07855337078651685,0.07855337078651685,7.855337078651685,0.07855337078651685,0.039276685393258425,,,False,True,True
2023-10-17,2023-01-01,MLPA,Selected and allocated,"MLPA passed the latest signal filters, survived the correlation filter, was sized by Classic CVaR, adjusted by the score tilt, then scaled by the cash sleeve and turnover/pruning rules.",22.55176853237779,6.0,True,True,True,True,True,0.004912004715995177,0.04489381499182277,0.115646448899549,0.07723044389706823,0.05517570142853945,0.10329453108903779,Classic_CVaR_Sharpe,,0.11999999977653232,0.11999999983091811,0.6,0.04999999999999993,1.0175,0.12099890970538961,0.12,0.34538857677902624,0.44276685393258425,0.34538857677902624,0.0,0.09526893574576002,0.12,0.07855337078651685,0.0,0.07855337078651685,0.07855337078651685,0.07855337078651685,0.07855337078651685,7.855337078651685,0.07855337078651685,0.039276685393258425,,,False,True,True
2023-10-17,2023-01-01,KIE,Selected and allocated,"KIE passed the latest signal filters, survived the correlation filter, was sized by Classic CVaR, adjusted by the score tilt, then scaled by the cash sleeve and turnover/pruning rules.",21.674907240534317,7.0,True,True,True,True,True,0.010723127509199903,0.04638793033722255,0.09839891522724153,0.07872455924246802,0.03792816775623198,0.12240406744270073,Classic_CVaR_Sharpe,,0.11999999845239735,0.11999999850678314,0.5,-0.050000000000000044,0.9824999999999999,0.11683678375798832,0.12,0.34538857677902624,0.44276685393258425,0.34538857677902624,0.0,0.09526893574576002,0.12,0.07855337078651685,0.0,0.07855337078651685,0.07855337078651685,0.07855337078651685,0.07855337078651685,7.855337078651685,0.07855337078651685,0.039276685393258425,,,False,True,True
2023-10-17,2023-01-01,CIBR,Selected and allocated,"CIBR passed the latest signal filters, survived the correlation filter, was sized by Classic CVaR, adjusted by the score tilt, then scaled by the cash sleeve and turnover/pruning rules.",20.6062174274805,11.0,True,True,True,True,True,0.016706162111865153,0.024717021571370124,0.12628409447343203,0.05705365047661559,0.06581334700242247,0.17615586395588775,Classic_CVaR_Sharpe,,0.11999999979265917,0.11999999984704496,0.4,-0.15000000000000002,0.9475,0.11267466040419069,0.12,0.34538857677902624,0.44276685393258425,0.34538857677902624,0.0,0.09526893574576002,0.12,0.07855337078651685,0.0,0.07855337078651685,0.07855337078651685,0.07855337078651685,0.07855337078651685,7.855337078651685,0.07855337078651685,0.039276685393258425,,,False,True,True
2023-10-17,2023-01-01,INDA,Selected and allocated,"INDA passed the latest signal filters, survived the correlation filter, was sized by Classic CVaR, adjusted by the score tilt, then scaled by the cash sleeve and turnover/pruning rules.",21.034256095521304,9.0,True,True,True,True,True,-0.005111106803945109,0.0049382334859797705,0.12672476980828629,0.03727486239122524,0.06625402233727673,0.10137879872470831,Classic_CVaR_Sharpe,,0.11999999962011004,0.11999999967449583,0.3,-0.25000000000000006,0.9125,0.10851253558942948,0.11805929771281698,0.34538857677902624,0.44276685393258425,0.34538857677902624,0.0,0.09526893574576002,0.11805929771281698,0.07728296490025578,0.0,0.07728296490025578,0.07728296490025578,0.07728296490025578,0.07728296490025578,7.728296490025579,0.07728296490025578,0.03864148245012789,,,False,True,True
2023-10-17,2023-01-01,BKLN,Selected and allocated,"BKLN passed the latest signal filters, survived the correlation filter, was sized by Classic CVaR, adjusted by the score tilt, then scaled by the cash sleeve and turnover/pruning rules.",21.150372465472994,8.0,True,True,True,True,True,-0.0042637317422570264,0.02276448459719016,0.04891535073820963,0.05510111350243563,-0.011555396732799927,0.024212556904311604,Classic_CVaR_Sharpe,,0.11999999980791765,0.11999999986230343,0.2,-0.35000000000000003,0.8775,0.10435041109999925,0.11353099606041954,0.34538857677902624,0.44276685393258425,0.34538857677902624,0.0,0.09526893574576002,0.11353099606041954,0.074318686910806,0.0,0.074318686910806,0.074318686910806,0.074318686910806,0.074318686910806,7.4318686910805996,0.074318686910806,0.037159343455403,,,False,True,True
2023-10-17,2023-01-01,XOP,Selected and allocated,"XOP passed the latest signal filters, survived the correlation filter, was sized by Classic CVaR, adjusted by the score tilt, then scaled by the cash sleeve and turnover/pruning rules.",25.34299740188463,3.0,True,True,True,True,True,0.027266226880989786,0.1274709195309316,0.18092714506630792,0.15980754843617706,0.12045639759529836,0.23029194800738947,Classic_CVaR_Sharpe,,0.04000000262405542,0.040000002642184014,0.9,0.35,1.1225,0.044495097561767165,0.04840970622676356,0.34538857677902624,0.44276685393258425,0.34538857677902624,0.0,0.09526893574576002,0.04840970622676356,0.03168954669081093,0.0,0.03168954669081093,0.03168954669081093,0.03168954669081093,0.03168954669081093,3.168954669081093,0.03168954669081093,0.015844773345405464,,,False,True,True
2023-10-17,2023-01-01,OIH,Not selected,OIH was not selected for final allocation in this rebalance.,22.780233152533242,5.0,False,True,True,True,True,-0.002505176498659667,0.06463079250394621,0.2199089285368614,0.09696742140919168,0.15943818106585184,0.23542906902110786,,,0.0,0.0,,,,0.0,0.0,0.34538857677902624,0.44276685393258425,0.34538857677902624,0.0,0.09526893574576002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False
2023-10-17,2023-01-01,IXC,Not selected,IXC was not selected for final allocation in this rebalance.,20.6977190580848,10.0,False,True,True,True,True,0.002632225462461113,0.0957114655052218,0.08072989718350154,0.12804809441046727,0.020259149712491986,0.17736106264338164,,,0.0,0.0,,,,0.0,0.0,0.34538857677902624,0.44276685393258425,0.34538857677902624,0.0,0.09526893574576002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False
2023-10-17,2023-01-01,QTEC,Not selected,QTEC was not selected for final allocation in this rebalance.,20.445059175687657,12.0,False,True,True,True,True,0.011309649198894434,0.0008196718798585412,0.19605689891254285,0.03315630078510401,0.1355861514415333,0.22973797342192573,,,0.0,0.0,,,,0.0,0.0,0.34538857677902624,0.44276685393258425,0.34538857677902624,0.0,0.09526893574576002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False
