Date,StartWindow,SoftStaleActions,CorrelationActions,HardExitActions,SoftStaleTargetWeightReleased,CorrelationTargetWeightReleased,HardExitWeightToSGOV,TurnoverAfterNormalCap,TurnoverAfterHardExit,ExtraTurnoverFromHardExit
2020-10-02,2020-01-01,0,0,0,0.0,0,0.0,,,
2020-11-02,2020-01-01,6,0,0,0.24534449452814888,0,0.0,0.2,0.2,0.0
2020-12-02,2020-01-01,8,0,0,0.21324751444200835,0,0.0,0.20000000000000007,0.20000000000000007,0.0
2020-12-31,2020-01-01,8,0,0,0.18830933219093832,0,0.0,0.19999999999999998,0.19999999999999998,0.0
2021-02-02,2020-01-01,8,0,0,0.1876185410117735,0,0.0,0.2,0.2,0.0
2021-03-02,2020-01-01,13,0,0,0.3296189823514272,0,0.0,0.19999999999999998,0.19999999999999998,0.0
2021-04-01,2020-01-01,10,0,1,0.27200373662123883,0,0.03483824613649014,0.2,0.2,0.0
2021-04-30,2020-01-01,8,0,3,0.21443652230823324,0,0.10193097657743112,0.2,0.23061674408456906,0.030616744084569048
2021-06-02,2020-01-01,9,0,1,0.24024634690737398,0,0.03199915513295698,0.2,0.2,0.0
2021-07-02,2020-01-01,9,0,1,0.2272737820726559,0,0.03140678105769444,0.20000000000000007,0.20000000000000007,0.0
2021-08-02,2020-01-01,6,0,3,0.13379915125356037,0,0.08836904477677791,0.20000000000000004,0.21954268326544818,0.01954268326544814
2021-09-02,2020-01-01,8,0,0,0.22127209770503298,0,0.0,0.2,0.2,0.0
2021-10-01,2020-01-01,7,0,6,0.195575880805459,0,0.18756017405996597,0.19999999999999998,0.3681260769931218,0.1681260769931218
2021-11-02,2020-01-01,10,0,1,0.1858620314367663,0,0.015058921692831854,0.2,0.2,0.0
2021-12-02,2020-01-01,9,0,5,0.23180413351509443,0,0.13810528194535593,0.2,0.33810528194535594,0.13810528194535593
2021-12-31,2020-01-01,9,0,1,0.18835401395638296,0,0.020162876998375094,0.19999999999999998,0.19999999999999998,0.0
2022-02-02,2020-01-01,6,0,7,0.13144153694736685,0,0.1750282185662485,0.2,0.3426330622022292,0.1426330622022292
2022-03-02,2020-01-01,4,0,7,0.0651420810923131,0,0.10249371212702223,0.2,0.30249371212702225,0.10249371212702224
2022-04-01,2020-01-01,2,0,0,0.03436718164717877,0,0.0,0.2,0.2,0.0
2022-05-02,2020-01-01,4,0,2,0.07032742244762046,0,0.011108897236230934,0.20000000000000004,0.211108897236231,0.011108897236230958
2022-06-02,2020-01-01,2,0,0,0.047631036947803414,0,0.0,0.17887055639865332,0.17887055639865332,0.0
2022-07-01,2020-01-01,0,0,0,0.0,0,0.0,0.1876850071717819,0.1876850071717819,0.0
2022-08-02,2020-01-01,1,0,3,0.03,0,0.009753919414997966,0.20000000000000007,0.20975391941499805,0.00975391941499798
2022-09-02,2020-01-01,3,0,2,0.07073954219015945,0,0.0016074797398993035,0.2,0.20000000000000004,2.7755575615628914e-17
2022-09-30,2020-01-01,0,0,3,0.0,0,0.03970720957471126,0.20000000000000004,0.22447305821536895,0.02447305821536891
2022-11-02,2020-01-01,0,0,5,0.0,0,0.06222018139586222,0.2,0.2246861843163867,0.024686184316386695
2022-12-02,2020-01-01,4,0,0,0.10379891491812718,0,0.0,0.19999999999999998,0.19999999999999998,0.0
2022-12-30,2020-01-01,7,0,3,0.1837597385202532,0,0.07838736602052801,0.19999999999999996,0.19999999999999998,2.7755575615628914e-17
2023-02-02,2020-01-01,8,0,0,0.16220285357263198,0,0.0,0.19999999999999996,0.19999999999999996,0.0
2023-03-02,2020-01-01,8,0,1,0.18000174890946136,0,0.016479405957313953,0.2,0.2,0.0
2023-03-31,2020-01-01,9,0,4,0.21114232380083767,0,0.15070505395674152,0.2,0.2843955100168836,0.08439551001688361
2023-05-02,2020-01-01,9,0,3,0.18648049757699003,0,0.10258876137383129,0.2,0.20517856072636254,0.005178560726362524
2023-06-02,2020-01-01,10,0,0,0.19650573749404981,0,0.0,0.20000000000000007,0.20000000000000007,0.0
2023-06-30,2020-01-01,7,0,0,0.145922473206212,0,0.0,0.2,0.2,0.0
2023-08-02,2020-01-01,10,0,0,0.27104111212151294,0,0.0,0.2,0.2,0.0
2023-09-01,2020-01-01,8,0,1,0.28017729967692795,0,0.03341011860643753,0.2,0.2,0.0
2023-10-02,2020-01-01,3,0,8,0.09072374031886025,0,0.3506987131931489,0.2,0.5506987131931489,0.3506987131931489
2023-11-02,2020-01-01,1,0,3,0.03159414687968749,0,0.0802155810759657,0.2,0.2,0.0
2023-12-01,2020-01-01,5,0,1,0.11135367324066706,0,0.02582143975988678,0.20000000000000004,0.20000000000000004,0.0
2024-01-02,2020-01-01,8,0,0,0.16389116611341784,0,0.0,0.20000000000000004,0.20000000000000004,0.0
2024-02-02,2020-01-01,9,0,0,0.16621792895102971,0,0.0,0.2,0.2,0.0
2024-03-01,2020-01-01,9,0,0,0.2274231315462724,0,0.0,0.20000000000000007,0.20000000000000007,0.0
2024-04-02,2020-01-01,8,0,0,0.20773958579641508,0,0.0,0.2,0.2,0.0
2024-05-02,2020-01-01,13,0,0,0.4218609646978754,0,0.0,0.19999999999999998,0.19999999999999998,0.0
2024-05-31,2020-01-01,10,0,0,0.32363791926104973,0,0.0,0.20000000000000004,0.20000000000000004,0.0
2024-07-02,2020-01-01,7,0,2,0.2134703759423623,0,0.05763966511351755,0.2,0.2434059146060887,0.0434059146060887
2024-08-02,2020-01-01,7,0,5,0.18972435842143812,0,0.2652806774019078,0.2,0.44225514419552814,0.24225514419552813
2024-08-30,2020-01-01,7,0,0,0.1624559401736475,0,0.0,0.2,0.2,0.0
2024-10-02,2020-01-01,10,0,0,0.2496152479943907,0,0.0,0.2,0.2,0.0
2024-11-01,2020-01-01,12,0,0,0.3558299877120242,0,0.0,0.2,0.2,0.0
2024-12-02,2020-01-01,11,0,1,0.3166793510581283,0,0.054818213618886814,0.2,0.21580422385253134,0.01580422385253133
2025-01-02,2020-01-01,7,0,6,0.23252514606157598,0,0.17658290517747538,0.19999999999999996,0.37658290517747534,0.17658290517747538
2025-01-31,2020-01-01,9,0,0,0.2038866799890507,0,0.0,0.19999999999999998,0.19999999999999998,0.0
2025-02-28,2020-01-01,6,0,0,0.14162660140792582,0,0.0,0.2,0.2,0.0
2025-04-02,2020-01-01,5,0,5,0.139315735584479,0,0.13920674661093027,0.2,0.3392067466109303,0.1392067466109303
2025-05-02,2020-01-01,5,0,1,0.11324077272107097,0,0.02396140653302848,0.19999999999999998,0.2,2.7755575615628914e-17
2025-06-02,2020-01-01,10,0,0,0.19160437159077362,0,0.0,0.2,0.2,0.0
2025-07-02,2020-01-01,10,0,0,0.21331109233995413,0,0.0,0.2,0.2,0.0
2025-08-01,2020-01-01,9,0,0,0.17980704668591707,0,0.0,0.2,0.2,0.0
2025-09-02,2020-01-01,11,0,0,0.3020044460635253,0,0.0,0.19999999999999996,0.19999999999999996,0.0
2025-10-02,2020-01-01,10,0,0,0.31017981035927006,0,0.0,0.2,0.2,0.0
2025-10-31,2020-01-01,13,0,0,0.38286974145976027,0,0.0,0.2,0.2,0.0
2025-12-02,2020-01-01,7,0,1,0.19662586838484805,0,0.03299549758664115,0.20000000000000004,0.20000000000000004,0.0
2026-01-02,2020-01-01,9,0,0,0.22796537838909012,0,0.0,0.2,0.2,0.0
2026-02-02,2020-01-01,7,0,0,0.1564151180494721,0,0.0,0.19999999999999998,0.19999999999999998,0.0
2026-03-02,2020-01-01,7,0,0,0.19509977645317783,0,0.0,0.19999999999999998,0.19999999999999998,0.0
2026-04-02,2020-01-01,12,0,0,0.40819289449777035,0,0.0,0.20000000000000004,0.20000000000000004,0.0
2026-05-01,2020-01-01,8,0,3,0.23146175949886533,0,0.11990409246517161,0.19999999999999998,0.25221867924646285,0.05221867924646287
2026-06-02,2020-01-01,10,0,1,0.23771636785954972,0,0.017220818960046295,0.2,0.2,0.0
2026-07-02,2020-01-01,5,0,5,0.13650835535596298,0,0.19950832241635033,0.2,0.32610072667225737,0.12610072667225736
2026-07-31,2020-01-01,6,0,1,0.1452359531384367,0,0.04203797227892196,0.19999999999999998,0.19999999999999996,0.0
2026-09-02,2020-01-01,9,0,0,0.19632195353559248,0,0.0,0.2,0.2,0.0
