Ticker,Overlay,ActionType,WeightBefore,WeightAfter,WeightReleased,WeightRedistributedToEligible,WeightFreedToSGOV,Reason,Date,StartWindow,AboveSMA126,Mom63,Mom126
ARKW,StalePosition,SoftTargetTrim,0.09200418544805583,0.046002092724027915,0.046002092724027915,0.046002092724027915,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2020-11-02,2020-01-01,,,
BLOK,StalePosition,SoftTargetTrim,0.09200418544805583,0.046002092724027915,0.046002092724027915,0.046002092724027915,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2020-11-02,2020-01-01,,,
EWT,StalePosition,SoftTargetTrim,0.08691400281318035,0.04345700140659017,0.04345700140659017,0.04345700140659017,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2020-11-02,2020-01-01,,,
IHI,StalePosition,SoftTargetTrim,0.08933789930597819,0.04466894965298909,0.04466894965298909,0.04466894965298909,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2020-11-02,2020-01-01,,,
SMH,StalePosition,SoftTargetTrim,0.09176179579877604,0.04588089789938802,0.04588089789938802,0.04588089789938802,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2020-11-02,2020-01-01,,,
XHB,StalePosition,SoftTargetTrim,0.03866692024225155,0.019333460121125776,0.019333460121125776,0.019333460121125776,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2020-11-02,2020-01-01,,,
ARKF,StalePosition,SoftTargetTrim,0.03803343256732912,0.01901671628366456,0.01901671628366456,0.01901671628366456,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2020-12-02,2020-01-01,,,
BNDX,StalePosition,SoftTargetTrim,0.036486374960995785,0.018243187480497892,0.018243187480497892,0.018243187480497892,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2020-12-02,2020-01-01,,,
EWT,StalePosition,SoftTargetTrim,0.06539885930939589,0.032699429654697944,0.032699429654697944,0.032699429654697944,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2020-12-02,2020-01-01,,,
IHI,StalePosition,SoftTargetTrim,0.06722273187977744,0.03361136593988872,0.03361136593988872,0.03361136593988872,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2020-12-02,2020-01-01,,,
SMH,StalePosition,SoftTargetTrim,0.069046604450159,0.0345233022250795,0.0345233022250795,0.0345233022250795,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2020-12-02,2020-01-01,,,
TAN,StalePosition,SoftTargetTrim,0.08317848309770547,0.04158924154885273,0.04158924154885273,0.04158924154885273,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2020-12-02,2020-01-01,,,
USHY,StalePosition,SoftTargetTrim,0.03803343256732912,0.01901671628366456,0.01901671628366456,0.01901671628366456,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2020-12-02,2020-01-01,,,
XHB,StalePosition,SoftTargetTrim,0.029095110051324872,0.014547555025662436,0.014547555025662436,0.014547555025662436,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2020-12-02,2020-01-01,,,
ARKG,StalePosition,SoftTargetTrim,0.06513360102081321,0.032566800510406606,0.032566800510406606,0.032566800510406606,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2020-12-31,2020-01-01,,,
ARKW,StalePosition,SoftTargetTrim,0.06004011529392152,0.03002005764696076,0.03002005764696076,0.03002005764696076,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2020-12-31,2020-01-01,,,
BNDX,StalePosition,SoftTargetTrim,0.02548662159521606,0.01274331079760803,0.01274331079760803,0.01274331079760803,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2020-12-31,2020-01-01,,,
BOTZ,StalePosition,SoftTargetTrim,0.04864943940666727,0.024324719703333636,0.024324719703333636,0.024324719703333636,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2020-12-31,2020-01-01,,,
EWT,StalePosition,SoftTargetTrim,0.04568269612311895,0.022841348061559474,0.022841348061559474,0.022841348061559474,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2020-12-31,2020-01-01,,,
IHI,StalePosition,SoftTargetTrim,0.046956715536911095,0.023478357768455548,0.023478357768455548,0.023478357768455548,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2020-12-31,2020-01-01,,,
TAN,StalePosition,SoftTargetTrim,0.058102196390886325,0.029051098195443163,0.029051098195443163,0.029051098195443163,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2020-12-31,2020-01-01,,,
USHY,StalePosition,SoftTargetTrim,0.026567279014342207,0.013283639507171104,0.013283639507171104,0.013283639507171104,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2020-12-31,2020-01-01,,,
ARKG,StalePosition,SoftTargetTrim,0.05544789083417841,0.027723945417089203,0.027723945417089203,0.027723945417089203,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2021-02-02,2020-01-01,,,
ARKW,StalePosition,SoftTargetTrim,0.051111833313577194,0.025555916656788597,0.025555916656788597,0.025555916656788597,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2021-02-02,2020-01-01,,,
BOTZ,StalePosition,SoftTargetTrim,0.04141501104019851,0.020707505520099256,0.020707505520099256,0.020707505520099256,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2021-02-02,2020-01-01,,,
EWT,StalePosition,SoftTargetTrim,0.038889438138638,0.019444719069319,0.019444719069319,0.019444719069319,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2021-02-02,2020-01-01,,,
IHI,StalePosition,SoftTargetTrim,0.03997400414250439,0.019987002071252195,0.019987002071252195,0.019987002071252195,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2021-02-02,2020-01-01,,,
TAN,StalePosition,SoftTargetTrim,0.04946209317796501,0.024731046588982505,0.024731046588982505,0.024731046588982505,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2021-02-02,2020-01-01,,,
URA,StalePosition,SoftTargetTrim,0.038505422583034306,0.019252711291517153,0.019252711291517153,0.019252711291517153,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2021-02-02,2020-01-01,,,
XRT,StalePosition,SoftTargetTrim,0.060431388793451155,0.030215694396725577,0.030215694396725577,0.030215694396725577,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2021-02-02,2020-01-01,,,
ARKF,StalePosition,SoftTargetTrim,0.06746281322223707,0.033731406611118536,0.033731406611118536,0.033731406611118536,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2021-03-02,2020-01-01,,,
ARKG,StalePosition,SoftTargetTrim,0.03366716041719221,0.016833580208596106,0.016833580208596106,0.016833580208596106,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2021-03-02,2020-01-01,,,
ARKK,StalePosition,SoftTargetTrim,0.054267106436325006,0.027133553218162503,0.027133553218162503,0.027133553218162503,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2021-03-02,2020-01-01,,,
ARKQ,StalePosition,SoftTargetTrim,0.04098644745932926,0.02049322372966463,0.02049322372966463,0.02049322372966463,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2021-03-02,2020-01-01,,,
BLOK,StalePosition,SoftTargetTrim,0.0733900752015698,0.0366950376007849,0.0366950376007849,0.0366950376007849,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2021-03-02,2020-01-01,,,
BOTZ,StalePosition,SoftTargetTrim,0.025146597993059808,0.012573298996529904,0.012573298996529904,0.012573298996529904,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2021-03-02,2020-01-01,,,
EWY,StalePosition,SoftTargetTrim,0.06730785557377063,0.033653927786885314,0.033653927786885314,0.033653927786885314,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2021-03-02,2020-01-01,,,
IHI,StalePosition,SoftTargetTrim,0.024271639366914125,0.012135819683457063,0.012135819683457063,0.012135819683457063,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2021-03-02,2020-01-01,,,
LIT,StalePosition,SoftTargetTrim,0.07390605853555171,0.036953029267775855,0.036953029267775855,0.036953029267775855,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2021-03-02,2020-01-01,,,
QCLN,StalePosition,SoftTargetTrim,0.0722361701479869,0.03611808507399345,0.03611808507399345,0.03611808507399345,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2021-03-02,2020-01-01,,,
TAN,StalePosition,SoftTargetTrim,0.030032670324155738,0.015016335162077869,0.015016335162077869,0.015016335162077869,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2021-03-02,2020-01-01,,,
XBI,StalePosition,SoftTargetTrim,0.05987030144930753,0.029935150724653765,0.029935150724653765,0.029935150724653765,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2021-03-02,2020-01-01,,,
XRT,StalePosition,SoftTargetTrim,0.03669306857545466,0.01834653428772733,0.01834653428772733,0.01834653428772733,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2021-03-02,2020-01-01,,,
ARKF,StalePosition,SoftTargetTrim,0.06316869197649791,0.031584345988248955,0.031584345988248955,0.031584345988248955,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2021-04-01,2020-01-01,,,
ARKK,StalePosition,SoftTargetTrim,0.050812914066294984,0.025406457033147492,0.025406457033147492,0.025406457033147492,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2021-04-01,2020-01-01,,,
ARKQ,StalePosition,SoftTargetTrim,0.03837759131449738,0.01918879565724869,0.01918879565724869,0.01918879565724869,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2021-04-01,2020-01-01,,,
ARKW,StalePosition,SoftTargetTrim,0.05503321487689134,0.02751660743844567,0.02751660743844567,0.02751660743844567,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2021-04-01,2020-01-01,,,
BLOK,StalePosition,SoftTargetTrim,0.0687186737865221,0.03435933689326105,0.03435933689326105,0.03435933689326105,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2021-04-01,2020-01-01,,,
EWY,StalePosition,SoftTargetTrim,0.06302359764233288,0.03151179882116644,0.03151179882116644,0.03151179882116644,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2021-04-01,2020-01-01,,,
KOMP,StalePosition,SoftTargetTrim,0.033675265738590573,0.016837632869295287,0.016837632869295287,0.016837632869295287,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2021-04-01,2020-01-01,,,
