,Weight
EIS,0.10217692977547552
THD,0.10170553474678698
XBI,0.0968111848586935
EWT,0.09135535085403754
OIH,0.07844907812453539
SPYD,0.06086857739060569
EWY,0.06007917547875072
SGOV,0.05852404606088265
GLDM,0.057301465822932045
IXC,0.05080199819711112
LIT,0.04883823001062094
EWP,0.04342935316830725
TUR,0.04077510971598789
MLPA,0.03667305893640769
XOP,0.03667305893640769
AVDV,0.03553784792245745
