Date,Strategy,SPY,QQQ,VTI
2022-10-11,0.0,0.0,0.0,0.0
2022-10-12,0.0,-0.0032985712465039008,-0.000342630410730016,-0.0027254051496603537
2022-10-13,0.0,0.0,0.0,0.0
2022-10-14,-0.009241285028562585,-0.022788633464348007,-0.03005758337477893,-0.02356448003037226
2022-10-17,0.0,0.0,0.0,0.0
2022-10-18,0.0,0.0,0.0,0.0
2022-10-19,0.0,-0.007086456899410232,-0.003646701278995912,-0.008527440454941693
2022-10-20,0.0,-0.01541228998811095,-0.008730006240153854,-0.017108415018826095
2022-10-21,0.0,0.0,0.0,0.0
2022-10-24,0.0,0.0,0.0,0.0
2022-10-25,0.0,0.0,0.0,0.0
2022-10-26,0.0,-0.007533938206329971,-0.02209626295497491,-0.006167764219836225
2022-10-27,0.0,-0.012833775153005544,-0.03990002094521006,-0.010832264522463442
2022-10-28,0.0,0.0,-0.010520272645786699,0.0
2022-10-31,0.0,-0.007223103645796702,-0.022025969644053678,-0.006451916648154032
2022-11-01,0.0,-0.011567400056868848,-0.0320186031247357,-0.009524328459325382
2022-11-02,-0.00612270219493305,-0.0363734891598636,-0.06519836387925537,-0.035588221422713784
2022-11-03,-0.002096727474789284,-0.04629580941470268,-0.08345941280702407,-0.04480537454772493
2022-11-04,0.0,-0.03256895365177204,-0.06871676375747204,-0.03251572730303909
2022-11-07,0.0,-0.023314885252386897,-0.05847799385526642,-0.023708388215957443
2022-11-08,0.0,-0.018045272662086997,-0.051616707709539855,-0.018587811608676064
2022-11-09,-0.012702479288876911,-0.038275715704495505,-0.07350187106515349,-0.039735829212489526
2022-11-10,-0.0012366645305723623,0.0,-0.005137013195482321,0.0
2022-11-11,0.0,0.0,0.0,0.0
2022-11-14,-0.0007962583585126026,-0.008506706218896154,-0.008751155440219649,-0.009042683944853303
2022-11-15,0.0,-5.036553227566465e-05,0.0,0.0
2022-11-16,-0.005073102941508534,-0.007678651812857429,-0.013649420482921948,-0.010181607786195812
2022-11-17,-0.008233802109748778,-0.010714985395202437,-0.01582650623203341,-0.01432414355624112
2022-11-18,-0.007468438187805071,-0.006223281024785754,-0.015792096562808555,-0.009682523522785313
2022-11-21,-0.009531558352021241,-0.009836565456888269,-0.02591662936255823,-0.013875039922328414
2022-11-22,0.0,0.0,-0.01188719237593916,-0.000948348348781658
2022-11-23,-0.0003366837184969329,0.0,-0.00196965692804707,0.0
2022-11-25,0.0,-0.0002235663647512931,-0.008535323844606313,0.0
2022-11-28,-0.006498022470356246,-0.016177090056690657,-0.023083386817536966,-0.01622492600436143
2022-11-29,-0.0023863831147243886,-0.017866984068227287,-0.030477906079940387,-0.017763180299880887
2022-11-30,0.0,0.0,0.0,0.0
2022-12-01,0.0,-0.0007358944904883868,0.0,0.0
2022-12-02,-0.0016792930140462348,-0.0018886149721693002,-0.003983373578716032,-0.000930448373931525
2022-12-05,-0.012067549840077185,-0.01984398439088897,-0.020699811602509444,-0.020570002168081025
2022-12-06,-0.016242255607046174,-0.033972733917634224,-0.040991306423464935,-0.03526304080196008
2022-12-07,-0.01873704216159644,-0.035616286665547725,-0.0449065563538269,-0.036829979158397363
2022-12-08,-0.018039918940372934,-0.028061354898389457,-0.03360323830704348,-0.02850428081827805
2022-12-09,-0.020920496451912185,-0.035321913140069494,-0.03976561213880525,-0.036634269313436385
2022-12-12,-0.012649199261897892,-0.021413924095829318,-0.027713465345840405,-0.02277390285580494
2022-12-13,-0.006935453479489206,-0.01400613976820353,-0.017261320933483426,-0.01547650781209775
2022-12-14,-0.010940936622364394,-0.020310043036890102,-0.024547256715945265,-0.02096189420678385
2022-12-15,-0.016370993798068056,-0.04427517813805859,-0.05729921511141978,-0.0453520958666489
2022-12-16,-0.018529872434381534,-0.0555584217804006,-0.06628771071701933,-0.05627374438278887
2022-12-19,-0.018467700273966714,-0.06356690741382442,-0.07940964322657018,-0.06577511883901699
2022-12-20,-0.014976112299501798,-0.06228560004618122,-0.08012626999856887,-0.06381605226948617
2022-12-21,-0.007904583011709154,-0.048264281520184804,-0.06678232453829802,-0.04966196359481967
2022-12-22,-0.012685124050808794,-0.06184187698159471,-0.08961363051114779,-0.06314130203571289
2022-12-23,-0.006110668051416579,-0.05644539603109289,-0.08756598880625421,-0.05797372764589681
2022-12-27,-0.005916905559112395,-0.06016647243624096,-0.10046654602794014,-0.061910990910592045
2022-12-28,-0.01506859215396128,-0.07184656588076355,-0.1123426447343242,-0.07372199345670938
2022-12-29,-0.007564684797494503,-0.055139472336045325,-0.09070573442766272,-0.05669444969713733
2022-12-30,-0.0101526495040285,-0.057628238089118544,-0.09125168010877749,-0.05910586894934933
2023-01-03,-0.011691647658850002,-0.06159563506113741,-0.09739471150060097,-0.06294441131879891
2023-01-04,-0.007370339302042006,-0.054350884748557204,-0.09309473831432391,-0.054627530155926696
2023-01-05,-0.011316129195130031,-0.06514400394238751,-0.10729187667472906,-0.0657002515572156
2023-01-06,0.0,-0.043705778104807025,-0.08265184001336601,-0.04508025914313685
2023-01-09,-0.0030282966968715463,-0.0442478878325977,-0.07671339212088957,-0.04468655643410635
2023-01-10,-0.00188438488296927,-0.03754532589422166,-0.06889819616868842,-0.03715684451490453
2023-01-11,-0.0012383896913965575,-0.025372276730303733,-0.052790301062952794,-0.02446018800426153
2023-01-12,0.0,-0.021823986495467018,-0.04767114366214753,-0.019735676771098998
2023-01-13,0.0,-0.018029139754519474,-0.041118626440202366,-0.015552713415445063
2023-01-17,0.0,-0.019828019168962152,-0.03917311706926829,-0.016881509261421068
