Month,Strategy,SPY,QQQ,VTI,StrategyMinusSPY,StrategyMinusQQQ,StrategyMinusVTI
2026-03-31,-0.08072606373621904,-0.04937956664344345,-0.048382495164410066,-0.05004837597028311,-0.031346497092775594,-0.03234356857180898,-0.030677687765935935
2024-12-31,-0.047519474930274974,-0.024059968652355046,0.004540375828359977,-0.03040458559872372,-0.023459506277919928,-0.05205985075863495,-0.017114889331551253
2024-04-30,-0.03712934080603314,-0.040319746181755156,-0.043737766922558374,-0.04343984113065169,0.0031904053757220163,0.0066084261165252345,0.006310500324618551
2026-06-30,-0.03376749417551261,-0.010292566443839246,-0.001490831230687828,-0.0038534790698642185,-0.023474927731673367,-0.032276662944824785,-0.029914015105648395
2026-07-31,-0.03368809446626164,-0.0023568297060585497,-0.05052557036456484,-0.005729097038787545,-0.03133126476020309,0.0168374758983032,-0.027958997427474097
2023-08-31,-0.029522909900433936,-0.016252011599100058,-0.01482996752603738,-0.01931247763134447,-0.013270898301333878,-0.014692942374396556,-0.010210432269089464
2023-05-31,-0.026365232462125632,0.004616201255000396,0.07883782109384496,0.004265478830311364,-0.030981433717126028,-0.1052030535559706,-0.030630711292436996
2023-09-30,-0.025488916037205378,-0.047434609698007724,-0.05079887164001562,-0.04801077219463423,0.021945693660802346,0.02530995560281024,0.022521856157428854
2023-02-28,-0.022750861444517545,-0.02514257699047573,-0.0035977968013235495,-0.024017970243865316,0.002391715545958184,-0.019153064643193995,0.0012671087993477714
2025-03-31,-0.02251776164532049,-0.055719310915217646,-0.07586191333201009,-0.0585531730547183,0.03320154926989716,0.0533441516866896,0.03603541140939781
2023-10-31,-0.017191062839779336,-0.02170851681346886,-0.02065465203707073,-0.02645840159618351,0.0045174539736895225,0.0034635891972913946,0.009267338756404175
2025-02-28,-0.016959907789414363,-0.012694838334663228,-0.027034671566146584,-0.018888297179816438,-0.004265069454751136,0.01007476377673222,0.0019283893904020744
2022-12-31,-0.01271738078920781,-0.05762816397495374,-0.09013647516601486,-0.05855267733873104,0.04491078318574593,0.07741909437680705,0.04583529654952323
2024-10-31,-0.012002094665081064,-0.008923754922916416,-0.008646105170482699,-0.007522061097589017,-0.0030783397421646486,-0.003355989494598366,-0.004480033567492048
2023-03-31,-0.006893722295207461,0.03707777693296932,0.09492707562477465,0.027071022498131425,-0.04397149922817678,-0.10182079791998211,-0.033964744793338886
2025-11-30,-0.0017108594371280095,0.0019500049129079766,-0.01561050577193468,0.00265338472003962,-0.003660864350035986,0.01389964633480667,-0.004364244157167629
2024-08-31,0.0030895866188236365,0.02336539291562989,0.011038687284872672,0.021315399207393115,-0.020275806296806254,-0.007949100666049036,-0.01822581258856948
2023-04-30,0.004647033687722679,0.015974841370329118,0.005079151442130447,0.01077911062833059,-0.011327807682606439,-0.0004321177544077681,-0.006132076940607911
2024-06-30,0.007334808744067667,0.035280096711594267,0.06470124980195191,0.03078923105036724,-0.0279452879675266,-0.05736644105788424,-0.02345442230629957
2025-07-31,0.009199018695492223,0.023031446515752618,0.024237032543879877,0.022900112766552905,-0.013832427820260396,-0.015038013848387655,-0.013701094071060682
2025-04-30,0.012587349511761214,-0.008670167189502864,0.013968199973197537,-0.007349680278203707,0.02125751670126408,-0.0013808504614363226,0.019937029789964922
2024-01-31,0.02218164269511913,0.015926520963537305,0.01819194627354981,0.01117098602431943,0.006255121731581825,0.003989696421569322,0.011010656670799701
2023-01-31,0.023538537410677796,0.06288721938291597,0.10642938505907185,0.06925064798389058,-0.039348681972238175,-0.08289084764839405,-0.04571211057321278
2022-11-30,0.024482990770130497,0.055591594808620526,0.05544133938173679,0.051692954683388415,-0.03110860403849003,-0.03095834861160629,-0.027209963913257917
