Month,Benchmark,ExcessReturn
2023-12-31,QQQ,-0.4808804780089575
2024-02-29,QQQ,-0.39161371465005734
2024-01-31,QQQ,-0.37364475048449086
2023-11-30,QQQ,-0.3234094519417472
2023-10-31,QQQ,-0.2880726214841569
2023-09-30,QQQ,-0.2495412335120748
2024-03-31,QQQ,-0.23568749059817318
2024-04-30,QQQ,-0.21558685795438093
2023-12-31,SPY,-0.19408259760564017
2023-12-31,VTI,-0.19279436459196497
2024-02-29,SPY,-0.1875219230158538
2024-02-29,VTI,-0.17189872977647713
2024-01-31,SPY,-0.15459641724131568
2024-06-30,QQQ,-0.14703228540399915
2024-01-31,VTI,-0.1405895541144111
2024-10-31,QQQ,-0.13955944251080954
2024-03-31,SPY,-0.13911583499851066
2024-03-31,VTI,-0.13590421897767868
2024-09-30,QQQ,-0.13397779640519825
2024-10-31,VTI,-0.12983824054827764
2024-10-31,SPY,-0.12921971843650493
2023-11-30,SPY,-0.1261174000434977
2024-09-30,SPY,-0.12267912547399917
2023-09-30,SPY,-0.11985180746632285
