,Weight
SGOV,0.2112283814871823
XBI,0.09196153811655176
EWT,0.08240226352355705
AVUV,0.0766268827762239
CIBR,0.06715597389878472
KIE,0.06157203537539561
THD,0.05327342931988182
VTV,0.04961234963809811
SPYD,0.047558391046048074
AVDV,0.04597360240834823
EWS,0.03947321646921889
XLV,0.039473216469218884
DIV,0.037766955214966896
JETS,0.037742840946723304
XOP,0.02992314181638194
RYLD,0.028255781493418577
