Ticker,Score,Mom21,Mom126Skip21,Mom63,Mom126,RS63VsSPY,RS126VsSPY,Vol63Ann,DownsideVol63Ann,AboveSMA50,AboveSMA126,PositiveMom63,PositiveMom126,OutperformSPY63,OutperformSPY126,Date,StartWindow,Eligible,Rank
URA,35.69835375115607,0.0624031363533617,0.28166924778389935,0.21984879359105514,0.36164942861326854,0.2607412230903928,0.3101379509251696,0.3024744282136504,0.1835533731065251,True,True,True,True,True,True,2023-11-02,2023-01-01,True,1
MLPA,24.71033942504221,0.05144204317335399,0.0891869626196129,0.06247101875789407,0.14521696537454543,0.10336344825723176,0.09370548768644649,0.1088087602825559,0.06682956080169453,True,True,True,True,True,True,2023-11-02,2023-01-01,True,2
XOP,24.355614339998773,0.08587079315089552,0.15150083671521042,0.030601186566250993,0.2503811268778653,0.07149361606558868,0.19886964918976635,0.23088907014919646,0.15356380745887457,True,True,True,True,True,True,2023-11-02,2023-01-01,True,3
SMIN,23.243335564933382,-0.009161239485881989,0.19141069664538923,0.029204291050321185,0.1804958979273792,0.07009672054965888,0.12898442023928025,0.14092094618266351,0.10945323971304856,False,True,True,True,True,True,2023-11-02,2023-01-01,True,4
BKLN,21.693154386055312,0.010102459630578764,0.04272259547264157,0.02232135675608915,0.053256658399296386,0.06321378625542684,0.0017451807111974471,0.025829471104354875,0.016599913427858326,True,True,True,True,True,True,2023-11-02,2023-01-01,True,5
OIH,20.525063337751654,0.04829068684399207,0.22784617605415147,-0.007984626311176135,0.2871397112345757,0.032907803188161555,0.23562823354647677,0.23985763254953688,0.16469598054535997,False,True,False,True,True,True,2023-11-02,2023-01-01,True,6
IXC,19.695323895253672,0.04592105997676765,0.058429331309714616,0.040050943313830745,0.10703352811395805,0.08094337281316843,0.055522050425859115,0.18392454449123227,0.12099140746421204,True,True,True,True,True,True,2023-11-02,2023-01-01,True,7
SHYG,18.928232400203505,0.015918856323960506,0.00884432053912243,0.006733119969772217,0.02490396833102837,0.04762554946910991,-0.02660750935707057,0.04592005638029545,0.029792422064641114,True,True,True,True,True,False,2023-11-02,2023-01-01,True,8
USHY,17.99564798018668,0.02119463772195118,0.001134153769408508,0.0026684220941799452,0.022352829469623137,0.043560851593517635,-0.029158648218475802,0.06418746510837745,0.04226875800255953,True,True,True,True,True,False,2023-11-02,2023-01-01,True,9
XLC,17.075190352144272,0.012785487099937543,0.13099354358909143,-0.02090135788284686,0.14545384695076247,0.01999107161649083,0.09394236926266353,0.18932337309536246,0.1411203156501914,True,True,False,True,True,True,2023-11-02,2023-01-01,True,10
