Date,StartWindow,SoftStaleActions,CorrelationActions,HardExitActions,SoftStaleTargetWeightReleased,CorrelationTargetWeightReleased,HardExitWeightToSGOV,TurnoverAfterNormalCap,TurnoverAfterHardExit,ExtraTurnoverFromHardExit
2023-11-02,2023-01-01,0,0,0,0.0,0,0.0,,,
2023-12-01,2023-01-01,5,0,1,0.16106975655430716,0,0.050200056310660796,0.20000000000000004,0.2,0.0
2024-01-02,2023-01-01,8,0,0,0.21104584040643906,0,0.0,0.19999999999999998,0.19999999999999998,0.0
2024-02-02,2023-01-01,9,0,0,0.19569643095714948,0,0.0,0.2,0.2,0.0
2024-03-01,2023-01-01,8,0,0,0.23335046540971313,0,0.0,0.2,0.2,0.0
2024-04-02,2023-01-01,8,0,0,0.2173521071783051,0,0.0,0.2,0.2,0.0
2024-05-02,2023-01-01,12,0,0,0.41680946460722634,0,0.0,0.2,0.2,0.0
2024-05-31,2023-01-01,10,0,0,0.3195435086688066,0,0.0,0.2,0.2,0.0
2024-07-02,2023-01-01,7,0,2,0.2236292254398068,0,0.0568467519647929,0.2,0.2498276996788923,0.04982769967889228
2024-08-02,2023-01-01,7,0,4,0.19230912729176186,0,0.22936992937034317,0.2,0.4077315044097662,0.20773150440976618
2024-08-30,2023-01-01,7,0,0,0.180743335682425,0,0.0,0.2,0.2,0.0
2024-10-02,2023-01-01,10,0,0,0.24995128754928708,0,0.0,0.2,0.2,0.0
2024-11-01,2023-01-01,12,0,0,0.35975686099897386,0,0.0,0.2,0.2,0.0
2024-12-02,2023-01-01,11,0,1,0.3179432290661685,0,0.05355003045126208,0.2,0.22104753890674644,0.021047538906746432
2025-01-02,2023-01-01,8,0,6,0.27940988543293,0,0.1834937264917722,0.19999999999999998,0.38349372649177216,0.18349372649177217
2025-01-31,2023-01-01,8,0,0,0.1946272831125597,0,0.0,0.2,0.2,0.0
2025-02-28,2023-01-01,6,0,0,0.16614339748956206,0,0.0,0.2,0.2,0.0
2025-04-02,2023-01-01,5,0,5,0.1373552559007512,0,0.14941968065728506,0.19999999999999998,0.349419680657285,0.14941968065728503
2025-05-02,2023-01-01,5,0,1,0.11292786684594841,0,0.023853581357598165,0.2,0.2,0.0
2025-06-02,2023-01-01,10,0,0,0.19211307426619564,0,0.0,0.2,0.2,0.0
2025-07-02,2023-01-01,10,0,0,0.21358974245491327,0,0.0,0.19999999999999998,0.19999999999999998,0.0
2025-08-01,2023-01-01,9,0,0,0.17971018794990212,0,0.0,0.2,0.2,0.0
2025-09-02,2023-01-01,11,0,0,0.3017358461858974,0,0.0,0.2,0.2,0.0
2025-10-02,2023-01-01,10,0,0,0.3098413821555764,0,0.0,0.19999999999999998,0.19999999999999998,0.0
2025-10-31,2023-01-01,13,0,0,0.3825911355467685,0,0.0,0.2,0.2,0.0
2025-12-02,2023-01-01,7,0,1,0.19655217968902264,0,0.03300931732009755,0.2,0.2,0.0
2026-01-02,2023-01-01,9,0,0,0.22791248591112934,0,0.0,0.2,0.2,0.0
2026-02-02,2023-01-01,7,0,0,0.1564232642858147,0,0.0,0.2,0.2,0.0
2026-03-02,2023-01-01,7,0,0,0.19507571831462847,0,0.0,0.2,0.2,0.0
2026-04-02,2023-01-01,12,0,0,0.40817432871172993,0,0.0,0.2,0.2,0.0
2026-05-01,2023-01-01,8,0,3,0.23144062618174882,0,0.11991487514060023,0.19999999999999998,0.2522137141745395,0.052213714174539544
2026-06-02,2023-01-01,10,0,1,0.23769729424148311,0,0.017223400981281382,0.2,0.2,0.0
2026-07-02,2023-01-01,5,0,5,0.13650132469578216,0,0.19949831985787306,0.2,0.32607875667934966,0.12607875667934965
2026-07-31,2023-01-01,6,0,1,0.14522940987122906,0,0.04203809646660596,0.19999999999999996,0.19999999999999996,0.0
2026-09-02,2023-01-01,9,0,0,0.19631781672515158,0,0.0,0.2,0.2,0.0
